Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Linear,80/20,0.33957966557549757,1.3683728331479088
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Ridge,80/20,0.4966866036100248,1.1945751329256356
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Lasso,80/20,0.42486704181759616,1.2769631148869118
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Kernel Ridge,80/20,0.4972350726894261,1.193924081197558
Rg w/no norm,No regr out,Inliers,ProtBERT,190,GPR,80/20,0.3445015072075519,1.3632643369814221
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Linear,85/15,0.42097814800974553,1.164065700418317
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Ridge,85/15,0.4099557466998548,1.17509318675336
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Lasso,85/15,0.27448892802267855,1.3030228691947818
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Kernel Ridge,85/15,0.5352333683433188,1.0429115704595693
Rg w/no norm,No regr out,Inliers,ProtBERT,190,GPR,85/15,0.4277240013786967,1.1572649015374377
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Linear,90/10,0.19138954923058393,1.349476458166445
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Ridge,90/10,0.38498273621576473,1.1768992633150286
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Lasso,90/10,0.20265891257912227,1.3400398379508727
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.4950000986434939,1.0664519293274008
Rg w/no norm,No regr out,Inliers,ProtBERT,190,GPR,90/10,0.20225714432449104,1.3403774084532003
Rg norm w/0.427,No regr out,All,ProtBERT,10,Linear,80/20,-0.9642802585502563,0.1478435386013119
Rg norm w/0.427,No regr out,All,ProtBERT,10,Ridge,80/20,-0.836017819530007,0.14293515888345804
