Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,80/20,0.11693203821705234,0.3138734286263377
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,80/20,0.11227404045665457,0.31470014802654545
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,80/20,0.03511684297738693,0.3280914024013825
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.01415558907379788,0.33163600625716155
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,80/20,0.8044789969138066,0.14769105591976
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,85/15,0.10300251812228967,0.36052036037051405
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,85/15,0.09862296526405634,0.3613994015310557
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,85/15,0.08088192275503758,0.3649386309915639
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.006249719756355909,0.3794659539382678
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,85/15,0.8601668209953213,0.14234404405053305
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,90/10,0.05811148384246856,0.43547171103589577
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,90/10,0.052063841252242504,0.43686750435171506
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,90/10,0.030500488507694268,0.4418084258204877
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.051322752199177146,0.4370382407821373
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,90/10,0.8726043814559628,0.1601538719171063
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.21150271308340918,0.08449563695602444
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.24387786776386888,0.08274278941132239
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.2322013321973343,0.0833792260596766
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.24847555775731966,0.10632226126955582
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.15814718137821515,0.10240379694193608
