Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,190,GPR,0.08582973000587274
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,0.08610238964755844
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Ridge,0.08713750105941152
Rg norm w/0.406,No regr out,All,ProtBERT,10,Ridge,0.08714127327457759
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,100,GPR,0.08718509527243203
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,GPR,0.08735518221663623
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,GPR,0.08737635695528556
Rg norm w/0.421,No regr out,Inliers,ProtBERT,190,Kernel Ridge,0.08865603092368779
Rg norm w/0.421,No regr out,Inliers,ProtBERT,100,Kernel Ridge,0.08867831639456243
Rg norm w/0.421,No regr out,Inliers,ProtBERT,100,Ridge,0.08870305193828171
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,100,Ridge,0.08870359882071516
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Ridge,0.0887164393566465
Rg norm w/0.406,No regr out,All,ProtBERT,20,Ridge,0.08871958061080917
Rg norm w/0.421,No regr out,Inliers,ProtBERT,190,Ridge,0.08885992955820649
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,190,Ridge,0.08886058358455129
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,50,GPR,0.0892949000823232
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,20,GPR,0.08977438947660182
Rg norm w/0.421,pH regr out,All,ProtBERT,10,Kernel Ridge,0.08990863702506013
Rg norm w/0.421,pH regr out,All,ProtBERT,100,Kernel Ridge,0.0899914134143571
Rg norm w/0.421,No regr out,Inliers,ProtBERT,50,Ridge,0.09003803155131916
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,50,Ridge,0.09003808108106119
Rg norm w/0.421,pH regr out,All,ProtBERT,190,Kernel Ridge,0.09035905362205737
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,0.09063819512194554
Rg norm w/0.421,No regr out,Inliers,ProtBERT,50,Kernel Ridge,0.09154931341340997
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,0.09185867573251426
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,0.09191551156410416
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,190,GPR,0.09210475653192438
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,0.09245226674703771
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Linear,0.09252317837705532
Rg norm w/0.406,No regr out,All,ProtBERT,10,Linear,0.09252768920421557
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,50,Lasso,0.09259291835523115
Rg norm w/0.421,No regr out,Inliers,ProtBERT,50,Lasso,0.0925954557531954
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,190,Lasso,0.0926212456595873
Rg norm w/0.421,No regr out,Inliers,ProtBERT,190,Lasso,0.09262404282246928
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,100,Lasso,0.09266388966739399
Rg norm w/0.421,No regr out,Inliers,ProtBERT,100,Lasso,0.0926663862696717
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,10,GPR,0.09298337572438828
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,20,Ridge,0.09315128611544246
Rg norm w/0.421,No regr out,Inliers,ProtBERT,20,Ridge,0.0931521812610942
Rg norm w/0.421,pH regr out,All,ProtBERT,20,Kernel Ridge,0.0932012970240543
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,100,GPR,0.09351054157168587
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Ridge,0.09368908820262906
Rg norm w/0.406,No regr out,All,ProtBERT,190,Ridge,0.09369108642454864
Rg norm w/0.421,pH regr out,All,ProtBERT,50,Kernel Ridge,0.0941907732111306
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,10,Kernel Ridge,0.09423734030864163
Rg norm w/0.421,pH regr out,All,ProtBERT,190,GPR,0.09430079684373095
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,20,Lasso,0.09496888745844044
Rg norm w/0.421,No regr out,Inliers,ProtBERT,20,Lasso,0.09497060652278544
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Ridge,0.09497196399113225
Rg norm w/0.406,No regr out,All,ProtBERT,100,Ridge,0.09497411603975478
Rg norm w/0.406,No regr out,Inliers,ProtBERT,190,Kernel Ridge,0.09520684496454013
Rg norm w/0.406,No regr out,Inliers,ProtBERT,100,Kernel Ridge,0.09524628340299095
Rg norm w/0.406,No regr out,Inliers,ProtBERT,100,Ridge,0.09531482217826538
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,100,Ridge,0.09531535619129948
Rg norm w/0.421,pH regr out,All,ProtBERT,100,GPR,0.09556928871626387
Rg norm w/0.421,No regr out,Inliers,ProtBERT,20,Kernel Ridge,0.09557784875313577
Rg norm w/0.406,No regr out,Inliers,ProtBERT,190,Ridge,0.09561687107983591
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,190,Ridge,0.09561754404826649
Rg norm w/0.5,buffer regr out,All,ProtBERT,10,Ridge,0.09572385253430343
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,50,GPR,0.0957376676702249
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,10,Ridge,0.09582660143231288
Rg norm w/0.421,No regr out,Inliers,ProtBERT,10,Ridge,0.09582800575322256
Rg norm w/0.421,pH regr out,All,ProtBERT,10,GPR,0.09608406143404821
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,20,GPR,0.09624452732687362
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,10,Lasso,0.09649346698587971
