Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,Kernel Ridge,90/10,-0.3221539567865004,0.0408125322402854,2
Rg norm w/0.406,No regr out,All,ProtBERT,mid,50,Kernel Ridge,90/10,0.2732476073509428,0.0408406367005771,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,85/15,0.6068484953110896,0.0408693304008154,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,GPR,85/15,0.6052721390727676,0.0409511820204179,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,Kernel Ridge,90/10,-0.3405887597942492,0.0410950582877192,2
Rg norm w/0.406,No regr out,All,ProtBERT,mid,100,Kernel Ridge,90/10,0.2547310806867189,0.0413576424080051,4
Rg norm w/0.406,No regr out,All,ProtBERT,mid,190,Kernel Ridge,90/10,0.2545368406009038,0.0413630315960137,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,100,Kernel Ridge,90/10,-0.3609599379712507,0.041407136478633,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,190,Kernel Ridge,90/10,0.4147869908696414,0.0416475038034471,4
Rg norm w/0.406,No regr out,All,ProtBERT,mid,20,Kernel Ridge,90/10,0.2312719080301721,0.0420035159419264,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Ridge,90/10,-0.4032042127405784,0.0420448654597301,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Ridge,90/10,-0.4033802562792186,0.0420464655914258,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,low,10,GPR,90/10,0.4007994050654332,0.0421422877891053,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,GPR,85/15,0.5811200252669814,0.0421854174033299,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,10,Kernel Ridge,90/10,-0.4174023841406216,0.0422560009257646,2
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,190,Ridge,90/10,0.6335176824989193,0.0422768003520451,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Ridge,90/10,-0.4215965242258856,0.0423195171241354,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Ridge,90/10,-0.4219270527749386,0.0423233925370892,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,85/15,0.577344031601479,0.0423751310484075,1
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,90/10,0.6292481487048556,0.0425223504711554,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,GPR,90/10,0.4823968559810021,0.0425641611286218,1
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,high,20,Kernel Ridge,90/10,0.4800357401857394,0.0426604084974127,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,GPR,85/15,0.5705359526351799,0.0427150537892693,1
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.1967711154346871,0.0429235489748182,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,50,Kernel Ridge,90/10,-0.4670023737830979,0.0429900485385611,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,50,Lasso,90/10,-0.4691851372931435,0.0430220192536859,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Lasso,90/10,-0.4695281808676743,0.0430259802316856,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,85/15,0.5628628901908805,0.0430964696110681,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,20,Lasso,90/10,-0.4900361443669245,0.0433262327934074,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,Lasso,90/10,-0.4903568898189228,0.0433298268671591,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.3483495446998108,0.0434168300160205,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,Kernel Ridge,85/15,0.5559712292404186,0.043433327911421,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Lasso,90/10,-0.4976189426645165,0.0434352650715866,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Lasso,90/10,-0.4979893813663463,0.0434417082495882,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Lasso,90/10,-0.4996921223977344,0.0434653187675256,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Lasso,90/10,-0.500127210048674,0.0434726957251712,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,GPR,85/15,0.5539830489424663,0.0435304576973582,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,Kernel Ridge,85/15,0.5538992049961696,0.0435345490147855,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,GPR,85/15,0.5536277112336561,0.043547794407863,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,190,Kernel Ridge,90/10,0.358882399784928,0.0435914023213823,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,GPR,85/15,0.5505303256622218,0.0436986226857437,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Ridge,90/10,-0.5170370995944835,0.0437170278233773,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Ridge,90/10,-0.5174573467738546,0.04372200405835,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,low,20,GPR,90/10,0.3369462084421202,0.0437950615586946,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.5365962882226789,0.0439979474897036,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.5368729933929244,0.0440008233795218,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,mid,190,GPR,90/10,0.3270845151041788,0.0441195445807298,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,190,GPR,90/10,0.3431361847324148,0.0441234700565363,4
Rg norm w/0.406,No regr out,All,ProtBERT,mid,10,Kernel Ridge,90/10,0.1506686092115681,0.0441507267521093,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Linear,85/15,0.5397730257549599,0.0442200155931169,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Linear,85/15,0.539704996935727,0.0442217251885185,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Ridge,85/15,0.5392552160891826,0.0442433257145868,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Ridge,85/15,0.5392759794327409,0.0442438880148783,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,100,Lasso,90/10,-0.5574895790747205,0.0442960603241167,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,Lasso,90/10,-0.5575000481477292,0.0442962091976361,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Lasso,90/10,-0.5579138953149054,0.0443010009949703,2
