Normalization,Regressing out,Points,Model,PCA Components,LayerGroup,Regression Type,mean_rmse,std_rmse,mean_r2,std_r2,runs
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,mid,Ridge,0.05454772447474879,0.008477870210150631,0.3149802493598624,0.17370033987739142,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,low,GPR,0.05460389694743643,0.006678351631691558,0.2796160729182904,0.26867105216215387,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,high,Kernel Ridge,0.05515632331256493,0.00778405324151609,0.3099609394927413,0.07857167380511047,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,mid,GPR,0.055190869459867946,0.009180639317033196,0.3045434019090397,0.14087272177804902,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,low,GPR,0.05666331728445878,0.0098369283261015,0.25963834078397013,0.18315526508785027,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,mid,Kernel Ridge,0.05693938663166431,0.0073306070247310395,0.2634868082091912,0.06373370108994876,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,high,Kernel Ridge,0.05729990932630211,0.007664434727968121,0.2501584198008896,0.11572349619648198,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,low,Kernel Ridge,0.057463072789887985,0.007852677891527928,0.2436529060942244,0.1283342415490082,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,high,Lasso,0.05750617477538467,0.008219128559410226,0.23674400441780405,0.15762116338197113,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,high,Lasso,0.05750660531832854,0.008219382622533248,0.23669078457777912,0.15767893828203108,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,low,Ridge,0.05751361208191479,0.007844674966850556,0.24580799885289573,0.10388896532641655,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,low,Ridge,0.057514035514143046,0.007845115095877405,0.24582926467836133,0.10387843774625373,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,mid,Lasso,0.05790981182236737,0.009584113306369458,0.24532830850420362,0.09224413376634967,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,mid,Lasso,0.057911864944990926,0.009584454547086545,0.2453033061747899,0.09226683179285687,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,high,Lasso,0.05804939032461683,0.009527685078534593,0.23797383026575503,0.10280787217979372,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,low,Kernel Ridge,0.05805104521058214,0.009636914657204626,0.23465222627933768,0.13754422514695364,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,high,Lasso,0.058051213092111836,0.009527800809353983,0.23789412062524962,0.10282209080692739,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,high,Lasso,0.05830248945767844,0.008746548264316551,0.23053374280870428,0.08153817353746531,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,high,Lasso,0.05830459589007336,0.008746797655516064,0.2304465679454063,0.08155384857854421,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,low,Lasso,0.058530899811482885,0.006360117697624893,0.2024056239835671,0.17472682784538968,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,low,Lasso,0.05853309001366642,0.0063595745006773475,0.20238369262869985,0.17469571944329096,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,mid,Kernel Ridge,0.05860768993609397,0.009215870489217657,0.22397764286632757,0.09250756199624004,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,mid,Lasso,0.058696454256883523,0.012148680058159918,0.22652539851223527,0.1499979740591223,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,mid,Lasso,0.05869774359681442,0.012150400620092818,0.22652685726310742,0.15001946382609266,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,high,Kernel Ridge,0.05870855584372916,0.006060196873904182,0.18475735164972096,0.24049612175244503,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,low,Lasso,0.05871150225728447,0.005818272102456165,0.1919873685750518,0.19428465191871097,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,low,Lasso,0.058713544212483544,0.005818036601989359,0.1919734431686757,0.1942438878212797,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,high,GPR,0.058912497152942646,0.0061286525013904735,0.17168584194455586,0.2892503468105919,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,mid,Ridge,0.05904744551351209,0.012210106677324528,0.2157882304285613,0.1595938007069194,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,mid,Ridge,0.0590483518287794,0.012210984875240308,0.21579824796130773,0.15959716191094955,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,low,Lasso,0.059109111872713394,0.010684468177064612,0.2158420288197185,0.11649299240062366,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,low,Lasso,0.05910920853197599,0.010684012901149549,0.21580471985052452,0.1165059532002549,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,low,Kernel Ridge,0.05947700154822003,0.011361610165420638,0.19833098941688412,0.17855608208288043,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,mid,Kernel Ridge,0.05949838053810588,0.0053020827954735755,0.17001584209610165,0.19635477528150563,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,mid,Linear,0.059745870173399405,0.012003850564957265,0.19302690736426498,0.17168807680320877,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,mid,Linear,0.059746983249040785,0.012004810951312084,0.1930321601944448,0.17168811473260706,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,low,Kernel Ridge,0.05989282036628163,0.009792109187217879,0.18974183478845183,0.11331906038455829,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,high,Kernel Ridge,0.05994481142224184,0.008565305902116176,0.18623286000776904,0.08089549633867074,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,high,Lasso,0.06000504344166732,0.00888807846734247,0.17959108572405413,0.12304047338665836,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,high,Lasso,0.06000552954778419,0.008887436023153311,0.1795407885313076,0.12305910130941111,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,high,Ridge,0.0601670690932794,0.009491727911714251,0.18121092584153442,0.09638720980284272,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,high,Ridge,0.060167286933502574,0.00949068861949435,0.18116824516232813,0.0963872655719755,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,high,GPR,0.06096173826918541,0.008348479335259262,0.11359884960681797,0.3000205719963085,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,high,Ridge,0.061055904663392224,0.011372645255304861,0.1558574587499045,0.15450698042271227,4
