Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score,_source_file
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Ridge,85/15,0.4407083701238834,0.0363778108870333,3.0,0.9990483665425282,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,GPR,85/15,0.4406367093146432,0.0363801413169286,3.0,0.9990481871043304,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,GPR,90/10,0.4375205960513355,0.0364929181944004,3.0,0.9990400117598842,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,90/10,0.4286645106381729,0.0367790817433744,3.0,0.9990178960745116,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,Ridge,85/15,0.4282360135920943,0.0367811919827582,3.0,0.9990172082655034,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,50,Ridge,85/15,0.4282168466022545,0.0367818197377332,3.0,0.9990171601269008,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,0.4203042793012357,0.037035434841728,3.0,0.9989974677494476,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Ridge,85/15,0.4200557204667242,0.037043385259205,3.0,0.9989968496848024,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Ridge,85/15,0.4200238279110279,0.0370443924576647,3.0,0.9989967708017792,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,GPR,85/15,0.4154584601523542,0.0371899068519061,3.0,0.9989854353233468,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,Kernel Ridge,85/15,0.4124261852552201,0.0372862423083536,3.0,0.9989779166264476,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Ridge,90/10,0.4023352666840881,0.0376169461450803,3.0,0.9989525661608882,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Ridge,90/10,0.4023138291222493,0.0376176693583182,3.0,0.9989525116326384,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,90/10,0.3981552340667083,0.0377483110640345,3.0,0.99894224826846,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,50,Lasso,85/15,0.3937510693619106,0.0378741614968778,3.0,0.9989317861738558,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Lasso,85/15,0.3937345833010989,0.0378746648648979,3.0,0.9989317459600182,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,90/10,0.3914846281879257,0.0379568791473979,3.0,0.9989258174748584,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,20,Lasso,85/15,0.3906294179149382,0.0379715456904674,3.0,0.9989241041903796,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,Lasso,85/15,0.3905652552904828,0.0379735330868496,3.0,0.9989239467583648,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,GPR,90/10,0.3886138864593879,0.038046355920582,3.0,0.9989187555520128,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,20,Kernel Ridge,85/15,0.3880372489035384,0.0380522225510506,3.0,0.9989177313643408,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,10,GPR,85/15,0.3876277534263942,0.0380649401098612,3.0,0.9989167255120712,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,Kernel Ridge,85/15,0.383621280275656,0.0381892578997767,3.0,0.9989068879067664,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,GPR,85/15,0.3778363939738169,0.0383680478027477,3.0,0.9988927066844846,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Linear,90/10,0.7422030452732118,0.0384286961468775,2.0,0.9994171536595566,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Linear,90/10,0.7421854376155181,0.0384299535227905,2.0,0.9994170872661364,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,GPR,90/10,0.593389281029034,0.0384402598195121,1.0,0.9992017768325568,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,GPR,90/10,0.3742778876157291,0.0384898335157428,3.0,0.9988835987571684,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Kernel Ridge,85/15,0.3737754814711919,0.0384930598292584,3.0,0.998882767815074,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,50,Kernel Ridge,85/15,0.3695053233756931,0.038624088716715,3.0,0.9988723306579947,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,GPR,90/10,0.5879016555702239,0.0386987856888165,1.0,0.9991854279633592,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Linear,85/15,0.7197175095527675,0.0387172470925037,1.0,0.9993752689278864,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,Linear,85/15,0.719715874470966,0.0387184112478199,1.0,0.9993752286473376,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Kernel Ridge,90/10,0.3620751067091576,0.0388633340897171,3.0,0.998853803204706,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,90/10,0.3609570611188502,0.0388973254483389,3.0,0.9988510807486428,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,GPR,90/10,0.3608771143834349,0.038899758474935,3.0,0.9988508859975448,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,Kernel Ridge,90/10,0.3589710641497178,0.0389577707972083,3.0,0.998846242665797,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,10,Kernel Ridge,85/15,0.3584494562523929,0.038961246203994,3.0,0.998845375868444,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Lasso,85/15,0.3579569649319104,0.0389761977886517,3.0,0.9988441773415933,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Lasso,85/15,0.357898704287535,0.0389779780816992,3.0,0.9988440351821832,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,90/10,0.5800934194856505,0.03906368805022,1.0,0.9991622615300944,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,GPR,90/10,0.5770222485784311,0.0392062824995355,1.0,0.9991531799144708,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,GPR,90/10,0.5767180629010058,0.0392200561267323,1.0,0.9991522918118942,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,20,Lasso,85/15,0.3489606352377045,0.0392483278186243,3.0,0.9988223161292068,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,Lasso,85/15,0.3488923754393915,0.0392503732915722,3.0,0.9988221508861198,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,20,GPR,85/15,0.348312814642509,0.0392678501045002,3.0,0.9988207443143756,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,GPR,90/10,0.5750089360930241,0.0392994798267013,1.0,0.9991472355872332,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,GPR,90/10,0.5742461286181526,0.0393347329177454,1.0,0.9991449852685292,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,10,Kernel Ridge,85/15,0.3445530489222267,0.0393809608046828,3.0,0.9988116281734788,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,50,Ridge,90/10,0.3428907678446783,0.0394433237982687,3.0,0.998807195321916,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,Ridge,90/10,0.342883305329227,0.0394435987068875,3.0,0.9988071755861944,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,50,Lasso,90/10,0.3425390623345776,0.0394538780394006,3.0,0.9988063434247152,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Lasso,90/10,0.3424836051305427,0.0394555929368957,3.0,0.9988062074456326,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,20,Ridge,85/15,0.3418440806024422,0.039462257828842,3.0,0.9988050664008274,all_rows_sorted_by_rmse.csv
