Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.421,expr pH only regr out,All,-1,Linear,85/15,-1.3618173128979714,0.5219295493894396
Rg norm w/0.421,expr pH only regr out,All,-1,Ridge,85/15,0.2309602917434353,0.37524644249962635
Rg norm w/0.421,expr pH only regr out,All,-1,Lasso,85/15,0.2187254799557663,0.3772524916631369
Rg norm w/0.421,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.2101099599337802,0.3748062862865546
Rg norm w/0.421,expr pH only regr out,All,-1,GPR,85/15,-0.1815410649828344,0.4508870400844126
Rg norm w/0.421,expr pH only regr out,All,-1,Linear,90/10,-0.3461244865155304,0.5353972972353029
Rg norm w/0.421,expr pH only regr out,All,-1,Ridge,90/10,0.2042987207245727,0.4291072259657568
Rg norm w/0.421,expr pH only regr out,All,-1,Lasso,90/10,0.16965674528766,0.4241485943801406
Rg norm w/0.421,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.1950102276697854,0.429888315075733
Rg norm w/0.421,expr pH only regr out,All,-1,GPR,90/10,-0.2232969994900022,0.5178567671788656
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,80/20,-1.544003835958346,0.39375223892075834
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,80/20,0.3354658219356783,0.27128486134551866
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,80/20,0.3325647822329468,0.2725184551206922
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.3398367417132307,0.27132357262394163
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,80/20,-0.3545011842620091,0.35915898398011853
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,85/15,-1.7816678234909804,0.41603870816635513
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,85/15,0.3763403950433469,0.29152126510850407
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,85/15,0.3850384042048648,0.29345220677451606
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.3604609627870679,0.29424809809533375
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,85/15,-0.3006013841760095,0.3835882824855332
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,90/10,-0.4364248176013541,0.40938475774742245
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,90/10,0.324641434133517,0.32461800842763655
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,90/10,0.3153139614601231,0.32557650400010324
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.3033442195767883,0.3230461219987273
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,90/10,-0.3553940967764961,0.43023547895018927
Rg norm w/0.406,expr pH only regr out,All,-1,Linear,80/20,-1.1281100239868231,0.4817649933231799
Rg norm w/0.406,expr pH only regr out,All,-1,Ridge,80/20,0.1154898127807866,0.33540129175336286
Rg norm w/0.406,expr pH only regr out,All,-1,Lasso,80/20,0.094447021124735,0.34455862380899294
Rg norm w/0.406,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.1111209648895823,0.33593593837154934
Rg norm w/0.406,expr pH only regr out,All,-1,GPR,80/20,-0.1365323214954523,0.3775134941580798
Rg norm w/0.406,expr pH only regr out,All,-1,Linear,85/15,-1.0038270087312395,0.5184834402482983
Rg norm w/0.406,expr pH only regr out,All,-1,Ridge,85/15,0.135437548420611,0.3725540018807088
Rg norm w/0.406,expr pH only regr out,All,-1,Lasso,85/15,0.0962060515715685,0.3820870601238459
Rg norm w/0.406,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.11753120549813,0.37379763549700834
Rg norm w/0.406,expr pH only regr out,All,-1,GPR,85/15,-0.097817181407023,0.41683481028449076
Rg norm w/0.406,expr pH only regr out,All,-1,Linear,90/10,-0.2635494338457236,0.5475281844018933
Rg norm w/0.406,expr pH only regr out,All,-1,Ridge,90/10,0.1303933008157916,0.43612369143973745
Rg norm w/0.406,expr pH only regr out,All,-1,Lasso,90/10,0.0602244604712859,0.44392030185338205
Rg norm w/0.406,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.1600387717110267,0.43665016712914373
Rg norm w/0.406,expr pH only regr out,All,-1,GPR,90/10,-0.1360239135919561,0.4889277547991159
Rg w/no norm,expr buffer only regr out,All,-1,Linear,80/20,-1.3074791562225951,4.545160325993495
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,80/20,0.1997774118301265,2.5680617183901218
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,80/20,0.1947015273618613,2.5851418538273214
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.224037720948682,2.538763294597608
Rg w/no norm,expr buffer only regr out,All,-1,GPR,80/20,-0.3679943141225688,3.474348079235214
Rg w/no norm,expr buffer only regr out,All,-1,Linear,85/15,-1.2582353435246136,4.995230962757814
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,85/15,0.1933377747250114,2.762017998321464
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,85/15,0.1445828176234738,2.788174811572676
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,85/15,0.22404375162222,2.708420177402716
Rg w/no norm,expr buffer only regr out,All,-1,GPR,85/15,-0.2781664216298838,3.7447926558765388
Rg w/no norm,expr buffer only regr out,All,-1,Linear,90/10,-0.4453877944777695,4.55877961850418
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,90/10,0.2077963941536593,3.0907090530579766
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,90/10,0.1608891035719051,3.099958696327935
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,90/10,0.2278997284865672,3.0593217649339186
Rg w/no norm,expr buffer only regr out,All,-1,GPR,90/10,-0.3224547080926425,4.230870129430626
Rg norm w/0.421,expr buffer only regr out,All,-1,Linear,80/20,-1.2527701267501063,0.536662219286423
Rg norm w/0.421,expr buffer only regr out,All,-1,Ridge,80/20,0.2048124703413933,0.32630625607418307
Rg norm w/0.421,expr buffer only regr out,All,-1,Lasso,80/20,0.1759689501622297,0.32905828144459776
Rg norm w/0.421,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.1771536843898653,0.327701885239812
Rg norm w/0.421,expr buffer only regr out,All,-1,GPR,80/20,-0.3708282866929073,0.41830398671624425
Rg norm w/0.421,expr buffer only regr out,All,-1,Linear,85/15,-1.1480536358903557,0.5831979239599538
Rg norm w/0.421,expr buffer only regr out,All,-1,Ridge,85/15,0.2189801446959351,0.3570889122973725
Rg norm w/0.421,expr buffer only regr out,All,-1,Lasso,85/15,0.1949634856480651,0.35961393050189905
Rg norm w/0.421,expr buffer only regr out,All,-1,Kernel Ridge,85/15,0.1991810455487648,0.35788672445805914
Rg norm w/0.421,expr buffer only regr out,All,-1,GPR,85/15,-0.2947830692892825,0.4536084758331306
Rg norm w/0.421,expr buffer only regr out,All,-1,Linear,90/10,-0.4415721758026811,0.5653085066741206
Rg norm w/0.421,expr buffer only regr out,All,-1,Ridge,90/10,0.1911768787444838,0.41206095192469644
Rg norm w/0.421,expr buffer only regr out,All,-1,Lasso,90/10,0.171028953294984,0.4093630566778469
Rg norm w/0.421,expr buffer only regr out,All,-1,Kernel Ridge,90/10,0.1761651710322481,0.4147589415415719
Rg norm w/0.421,expr buffer only regr out,All,-1,GPR,90/10,-0.3113453275608415,0.5141655364262134
Rg norm w/0.5,expr buffer only regr out,All,-1,Linear,80/20,-1.437506469133094,0.42088479937495293
Rg norm w/0.5,expr buffer only regr out,All,-1,Ridge,80/20,0.3317302393524944,0.2602128771018301
Rg norm w/0.5,expr buffer only regr out,All,-1,Lasso,80/20,0.3279823952463087,0.2617012855505524
Rg norm w/0.5,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.3336325006602481,0.26110350009047745
Rg norm w/0.5,expr buffer only regr out,All,-1,GPR,80/20,-0.4864816004134842,0.3618415526652631
Rg norm w/0.5,expr buffer only regr out,All,-1,Linear,85/15,-1.5761397698569524,0.4505095878703564
