Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,-0.46495783780141253,1.3957932810869838
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,85/15,-0.7188271838379428,1.517466409722261
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,-0.2443932218751661,1.2864335534105138
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,85/15,-0.7997003013351662,1.5527554931329113
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,-0.40723182017234794,1.3680165895899195
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,85/15,-0.5924631970849268,1.460621475447104
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,-0.418156412456687,1.3733164023450797
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,85/15,-5.074655060814315,2.852750503963236
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,-7.085354026124056,3.279125669780724
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,90/10,-0.8279213983563931,1.5789958819475802
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,-0.14135453179468582,1.3813514863234289
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,90/10,-0.538747225099979,1.4487247520874873
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.0381705831678929,1.2680691683605463
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,90/10,-0.4671998797006096,1.4146430825861065
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,90/10,-0.9944876015142043,1.6493693101386717
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.015064407060234375,1.2832102840862816
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,90/10,-4.933345433172924,2.8448020715408204
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,-1.0213434203169056,1.5693769965905933
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,-0.22727395269483108,1.2303147396194847
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,-0.9454737006231029,1.5396425757765069
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,80/20,-0.22319433065278482,1.2282681724269242
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,80/20,-0.970123893917739,1.5493659205711325
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,80/20,-0.29657700226482664,1.2645750985423831
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,80/20,-0.9327514334861666,1.5346001348559417
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,80/20,-0.1679256946596146,1.2001984874810059
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,80/20,-5.804263511472172,2.8793720999660146
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,80/20,-7.174151984381478,3.1751688316523867
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,85/15,-0.8483154211272537,1.5735879567964624
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,85/15,-0.26490219536740556,1.2969911532314982
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,85/15,-0.8689446484938776,1.5823450736103768
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,85/15,-0.2556203340811005,1.292223726131183
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,85/15,-0.8452822479057773,1.572296260430307
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,85/15,-0.3405079175434249,1.3351904959523289
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,85/15,-0.9923732069325659,1.633760252679574
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,85/15,-0.1835170769543948,1.2545726193788982
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,85/15,-5.074654822652037,2.8527504480409194
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,85/15,-7.084146337426093,3.2788807633184525
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,90/10,-0.9332579077980891,1.623854587504474
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,90/10,0.05302874340579855,1.2582366004414676
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,90/10,-0.8488706709797105,1.5880183097771228
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,90/10,-0.027078171474711032,1.31037520024978
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,90/10,-0.84767568764199,1.5875050337060281
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,90/10,0.015216042342722114,1.2831115022750619
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,90/10,-1.0080649836329325,1.65497379090974
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,90/10,-0.23240478181993152,1.4353922694070436
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,90/10,-4.933345076114513,2.844801985943198
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,80/20,-6272540837.919834,87423.65888828487
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,80/20,-8641395312.787807,103237.48240010254
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,80/20,-0.30093729988029616,1.2590280702415495
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,80/20,0.3957158895502476,0.8633085774815941
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,80/20,0.26242747496545094,0.9537791709362697
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,80/20,-0.11784451901418302,1.1670727554868925
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,80/20,0.42380159952688323,0.8430076053847879
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,80/20,0.09229906173670377,1.0516679097096986
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,80/20,-7.173629754192612,3.1750674024456065
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,85/15,-5197664423.404261,83446.30252858554
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,85/15,-10239959415.524708,116696.45367059504
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,85/15,-0.21155561834688252,1.2740153410055155
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,85/15,0.33047425219546467,0.9436092341234541
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,85/15,-0.6559351626212784,1.489445592782545
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,85/15,0.23914296645133648,1.005912188467346
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,85/15,0.0012498515975657432,1.156728425401094
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,85/15,0.4005560397907907,0.8928589060879991
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,85/15,0.022271300451491727,1.1444904188038374
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,85/15,-7.083506294245749,3.2787509619316273
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,90/10,-4695736182.485876,80030.23342002422
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,90/10,-7525782867.708304,112168.20178547471
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,90/10,-0.29339454881672933,1.3282130777043064
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,90/10,0.44013306569138966,0.9674673668706861
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,90/10,-0.5573878628841413,1.4574733816086916
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,90/10,0.5689370626546083,0.8489150978614061
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,90/10,-0.1227604958361097,1.2375016900964564
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,90/10,0.4227912323807137,0.9823367127514928
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,90/10,0.14616593617516838,1.079167797458444
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,90/10,-5.421263322547847,3.2764546066951383
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,80/20,-45.602672404136705,7.535509833218818
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,80/20,-19.17527106232678,4.988329787256936
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,80/20,-0.2971181010707844,1.2571786295367002
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,80/20,0.3959737752436727,0.8631243440345999
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,80/20,0.26242747496545094,0.9537791709362697
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,80/20,-0.11775724601206838,1.1670271964089516
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,80/20,0.41722813256808955,0.8478026268323485
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,80/20,-5.8053171618198505,2.87959502886707
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,80/20,-7.175218326981744,3.1753759300388236
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,85/15,-29.60146202316405,6.402860908371774
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,85/15,-23.35247476372505,5.690888695320714
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,85/15,-0.20666088892734535,1.2714392019456948
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,85/15,0.3298456742636092,0.94405207952114
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,85/15,-0.6559351626212784,1.489445592782545
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,85/15,0.23914296645133648,1.005912188467346
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,85/15,0.0023527271547005846,1.1560895870061312
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,85/15,0.400556351809386,0.8928586737154703
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,85/15,-5.0746580327019135,2.8527512017849825
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,85/15,-7.085453109238594,3.279145761973835
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,90/10,-8.84317352976718,3.6641210234601687
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,90/10,-0.8963658102447507,1.7805532809058318
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,90/10,-0.2857058168403832,1.3242593357239971
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,90/10,0.42049755328200356,0.9842865542766964
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,90/10,-0.5573878628841413,1.4574733816086916
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,90/10,0.5689370626546083,0.8489150978614061
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,90/10,-0.11819829273032578,1.2349849107173476
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,90/10,0.40729549871141013,0.9954352787365512
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,90/10,-4.933349888462357,2.844803139607257
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,90/10,-5.421263322404388,3.2764546066585387
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,80/20,-3.344841260955649,2.30088115480026
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,80/20,0.030451634057612198,1.09352875592998
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,80/20,-0.3726818417094935,1.293278847300715
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,80/20,0.40996656417685307,0.8530682530019545
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,80/20,0.26242747496545094,0.9537791709362697
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,80/20,-0.35971041685267036,1.2871537976057534
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,80/20,0.4307130278042184,0.8379364668058957
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,80/20,-5.805061199973961,2.8795408746394093
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,80/20,-7.1749590245798505,3.175325571192015
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,85/15,-1.2345158352277843,1.7301935870407688
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,85/15,0.12301541874792998,1.0799521652539084
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,85/15,-0.2887650781682056,1.3139833415265678
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,85/15,0.35635556004562097,0.9251913242007951
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,85/15,-0.6559351626212784,1.489445592782545
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,85/15,0.23914296645133648,1.005912188467346
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,85/15,-0.05325793586989014,1.1878739260906768
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,85/15,0.4152656997993469,0.8818360024037211
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,85/15,-5.074657559582773,2.852751090693032
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,85/15,-7.0851353310477325,3.2790813220944224
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,90/10,-0.8959996800453862,1.6081307957656645
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,90/10,0.5268336908804915,0.8894075720553332
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,90/10,-0.4150685663749387,1.3892838296811134
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,90/10,0.576753329150535,0.841183394648349
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,90/10,-0.5573878628841413,1.4574733816086916
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,90/10,0.6043193550434606,0.8133291147250028
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,90/10,-0.22596364416065184,1.2931265679977466
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,90/10,0.4617032689708126,0.9486473257488973
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,90/10,-4.933349179185177,2.844802969572281
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,90/10,-5.421263322397638,3.2764546066568165
Rg w/no norm,No regr out,All,ESM-6,1,20,Linear,80/20,-1.5175738942648396,1.7514524180711375
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Linear,80/20,0.20894582043175813,0.98775351380545
Rg w/no norm,No regr out,All,ESM-6,1,20,Ridge,80/20,-0.5185556041765571,1.3602620425322123
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Ridge,80/20,0.26362975551483037,0.9530014997332175
Rg w/no norm,No regr out,All,ESM-6,1,20,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Lasso,80/20,0.29057390823687745,0.9354036218801295
Rg w/no norm,No regr out,All,ESM-6,1,20,Kernel Ridge,80/20,-0.3573822600451799,1.2860513644304665
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Kernel Ridge,80/20,0.36136221982564387,0.8875090124548826
Rg w/no norm,No regr out,All,ESM-6,1,20,GPR,80/20,-5.80542704958322,2.879618277671809
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,GPR,80/20,-7.175330677150999,3.175397749199073
