Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,All,2,Ridge,80/20,0.012697767953924854,0.28695750223540684
Rg norm w/0.427,No regr out,Inliers,2,Ridge,80/20,0.10306328851041657,0.09141598690123261
Rg norm w/0.427,No regr out,All,2,Lasso,80/20,0.006281661744717448,0.28788840677363775
Rg norm w/0.427,No regr out,Inliers,2,Lasso,80/20,0.20492860799693124,0.08606851615990609
Rg norm w/0.427,No regr out,All,2,Kernel Ridge,80/20,0.041232056564208475,0.2827803817780586
Rg norm w/0.427,No regr out,Inliers,2,Kernel Ridge,80/20,-8.888851710070599,0.303538780067394
Rg norm w/0.427,No regr out,All,2,GPR,80/20,-0.7357089900977929,0.380479253171735
Rg norm w/0.427,No regr out,Inliers,2,GPR,80/20,-9.035573860243574,0.3057823105590789
Rg norm w/0.427,No regr out,All,2,Linear,85/15,0.16485749001541916,0.2952421564976014
Rg norm w/0.427,No regr out,Inliers,2,Linear,85/15,-0.4479794383880613,0.09597752771859008
Rg norm w/0.427,No regr out,All,2,Ridge,85/15,0.08751960203908582,0.3086098940197787
Rg norm w/0.427,No regr out,Inliers,2,Ridge,85/15,-0.3872615967560875,0.09394367454749492
Rg norm w/0.427,No regr out,All,2,Lasso,85/15,0.008858730622289923,0.321636889501995
Rg norm w/0.427,No regr out,Inliers,2,Lasso,85/15,0.1243525773086036,0.07463679779220032
Rg norm w/0.427,No regr out,All,2,Kernel Ridge,85/15,-0.03899353121138982,0.3293096788618789
Rg norm w/0.427,No regr out,Inliers,2,Kernel Ridge,85/15,-10.600233774896688,0.271657520281968
Rg norm w/0.427,No regr out,All,2,GPR,85/15,-0.4567632415172058,0.3899353072444979
Rg norm w/0.427,No regr out,Inliers,2,GPR,85/15,-10.804270699759764,0.2740362030896103
Rg norm w/0.427,No regr out,All,2,Linear,90/10,-5.480394433831227,0.18821994825630706
Rg norm w/0.427,No regr out,Inliers,2,Linear,90/10,-0.3991437986411086,0.09661602442112577
Rg norm w/0.427,No regr out,All,2,Ridge,90/10,-0.6953623504786908,0.09627115821252188
Rg norm w/0.427,No regr out,Inliers,2,Ridge,90/10,-0.32590555994597725,0.09405335305105751
Rg norm w/0.427,No regr out,All,2,Lasso,90/10,-0.5383084030317487,0.09170365292821243
Rg norm w/0.427,No regr out,Inliers,2,Lasso,90/10,0.005839519120619863,0.08144158829728278
Rg norm w/0.427,No regr out,All,2,Kernel Ridge,90/10,-10.688686283325088,0.2527829517688897
Rg norm w/0.427,No regr out,Inliers,2,Kernel Ridge,90/10,-10.480907251194939,0.2767617648623173
Rg norm w/0.427,No regr out,All,2,GPR,90/10,-21.65136144013863,0.35189418038040315
Rg norm w/0.427,No regr out,Inliers,2,GPR,90/10,-10.753944802368126,0.280033385285446
Rg norm w/0.427,No regr out,All,1,Linear,80/20,0.30611755006662034,0.24056668054604768
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,0.09142636438988061,0.09200709474340876
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,0.08032015010211813,0.2769560519539216
Rg norm w/0.427,No regr out,Inliers,1,Ridge,80/20,0.11315115865903491,0.0909004542781083
Rg norm w/0.427,No regr out,All,1,Lasso,80/20,0.07501827473262446,0.27775321863543884
Rg norm w/0.427,No regr out,Inliers,1,Lasso,80/20,0.2136531681686693,0.08559498552663442
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,80/20,0.0998877276099267,0.27399388197935365
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,80/20,-8.963896360485618,0.3046883527978002
Rg norm w/0.427,No regr out,All,1,GPR,80/20,-0.7101941200075985,0.37767238295073347
