Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,80/20,-0.2753066113513698,1.2541595055716392
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,80/20,-5.805635002318898,2.879662273435756
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,80/20,-7.175542493282574,3.175438884911953
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,85/15,-7.202963023794496,3.315036820857014
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,-1.707521457108943,1.8975555309621834
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,85/15,-0.7188083153267792,1.5174580806677929
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,-0.24434895466708473,1.286410671845729
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,85/15,-0.7997003013351658,1.5527554931329113
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,-0.40723182017234794,1.3680165895899195
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,85/15,-0.5925788535964998,1.460674515077079
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,-0.4187824809730649,1.373619505473828
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,85/15,-5.074655853825519,2.8527506901682975
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,-7.085850369580163,3.2792263176673293
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,90/10,-2.115238373856363,2.061331694272846
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,-0.6119039702880498,1.641585464824828
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,90/10,-0.5388453952205949,1.4487709647509504
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.03808390065616496,1.2681263078814384
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,90/10,-0.4671998797006094,1.4146430825861063
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,90/10,-0.9947022737620619,1.6494580708534816
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.015102272031379704,1.2831856179112926
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,90/10,-4.9333466220083855,2.8448023565403586
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,80/20,-2.337148691383323,2.0164850607053135
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,-0.37442329468477253,1.3019842246859599
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,80/20,-0.7165303271645582,1.446215362083156
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,-0.15375394019299726,1.1928945849857295
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,80/20,-1.1087437421739788,1.602946890638754
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,-0.3081779038923167,1.2702197854665962
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,80/20,-0.6173870793094822,1.4038290160314413
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,-0.2746528188772672,1.2538379887085986
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,80/20,-5.805235006932224,2.879577647346535
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,-7.175137488946138,3.1753602306546123
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,85/15,-1.8200103070642935,1.9436959397393234
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,-0.464957837801413,1.395793281086984
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,85/15,-0.7188271838379428,1.517466409722261
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,-0.24439322187516632,1.2864335534105138
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,85/15,-0.7997003013351658,1.5527554931329113
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,-0.40723182017234794,1.3680165895899195
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,85/15,-0.5924631970849217,1.4606214754471016
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,-0.41815641245774837,1.3733164023455937
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,85/15,-5.074655060811055,2.8527505039624703
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,-7.085354026057189,3.2791256697671645
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,90/10,-0.8279213983563913,1.5789958819475796
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,-0.14135453179468582,1.3813514863234289
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,90/10,-0.5387472250999794,1.4487247520874873
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.038170583167893235,1.268069168360546
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,90/10,-0.4671998797006094,1.4146430825861063
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,90/10,-0.9944876015142006,1.6493693101386702
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.01506440706023493,1.2832102840862813
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,90/10,-4.933345433173143,2.844802071540873
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,-1.0213434203169052,1.569376996590593
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,-0.22727395269482953,1.230314739619484
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,-0.9454737006231029,1.5396425757765069
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,80/20,-0.22319433065278482,1.2282681724269242
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,80/20,-0.9701238939177392,1.5493659205711325
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,80/20,-0.2965770022648264,1.264575098542383
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,80/20,-0.932751433486158,1.5346001348559384
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,80/20,-0.16792569465966412,1.2001984874810312
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,80/20,-5.804263511808583,2.8793721000371946
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,80/20,-7.1741519934901135,3.1751688334214663
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,85/15,-0.8483154211272537,1.5735879567964624
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,85/15,-0.2649021953674062,1.2969911532314986
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,85/15,-0.8689446484938781,1.582345073610377
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,85/15,-0.2556203340811005,1.292223726131183
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,85/15,-0.8452822479057773,1.572296260430307
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,85/15,-0.3405079175434249,1.3351904959523289
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,85/15,-0.9923732069325628,1.6337602526795727
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,85/15,-0.18351707695434416,1.2545726193788715
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,85/15,-5.074654822653783,2.8527504480413297
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,85/15,-7.0841463481779225,3.278880765498891
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,90/10,-0.9332579077980885,1.6238545875044739
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,90/10,0.053028743405798884,1.2582366004414673
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,90/10,-0.8488706709797107,1.588018309777123
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,90/10,-0.027078171474711032,1.31037520024978
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,90/10,-0.8476756876419906,1.5875050337060286
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,90/10,0.015216042342722336,1.2831115022750617
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,90/10,-1.0080649836328508,1.6549737909097064
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,90/10,-0.23240478181994617,1.435392269407052
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,90/10,-4.933345076112263,2.8448019859426585
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,80/20,-6272540843.307839,87423.6589258326
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,80/20,-8641395313.579496,103237.48240483162
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,80/20,-0.30093729988029616,1.2590280702415495
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,80/20,0.3957158895502473,0.8633085774815942
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,80/20,0.26242747496545094,0.9537791709362697
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,80/20,-0.11784451901418169,1.1670727554868918
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,80/20,0.42380159952682417,0.8430076053848311
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,80/20,0.09229906173670499,1.0516679097096977
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,80/20,-7.173629754192612,3.1750674024456065
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,85/15,-5197664433.295138,83446.30260798246
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,85/15,-10239959366.86661,116696.45339333675
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,85/15,-0.21155561834688164,1.274015341005515
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,85/15,0.33047425219546456,0.9436092341234542
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,85/15,-0.6559351626212786,1.489445592782545
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,85/15,0.23914296645133637,1.005912188467346
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,85/15,0.0012498515975635227,1.1567284254010954
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,85/15,0.4005560397908021,0.8928589060879906
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,85/15,0.022271300451476295,1.1444904188038465
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,85/15,-7.083506294245749,3.2787509619316273
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,90/10,-4695736204.199969,80030.23360506272
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,90/10,-7525782858.648029,112168.20171795516
