Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,90/10,0.014598770303096975,0.11033882435506283
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,90/10,0.5315567910618468,0.05028051906552438
Rg norm w/0.5,No regr out,All,1,GPR,90/10,-13.778060373160816,0.4272976659727239
Rg norm w/0.5,No regr out,Inliers,1,GPR,90/10,-1.7654826878778427,0.12216779933921576
Rg norm w/0.406,No regr out,All,1,Linear,80/20,0.016073071681839246,0.08938635487767209
Rg norm w/0.406,No regr out,Inliers,1,Linear,80/20,0.3530574902038658,0.09947771156985509
Rg norm w/0.406,No regr out,All,1,Ridge,80/20,0.09777008756095174,0.08559500366204345
Rg norm w/0.406,No regr out,Inliers,1,Ridge,80/20,0.3529593233199668,0.09948525864427979
Rg norm w/0.406,No regr out,All,1,Lasso,80/20,-0.0013767771013046826,0.09017550057243476
Rg norm w/0.406,No regr out,Inliers,1,Lasso,80/20,0.341475539684871,0.10036421613796735
Rg norm w/0.406,No regr out,All,1,Kernel Ridge,80/20,-0.016850590764115436,0.0908695498630676
Rg norm w/0.406,No regr out,Inliers,1,Kernel Ridge,80/20,0.3899487284832981,0.09659977387822924
Rg norm w/0.406,No regr out,All,1,GPR,80/20,-5.424415394143824,0.2284055281941907
Rg norm w/0.406,No regr out,Inliers,1,GPR,80/20,-2.161269431428942,0.2198992243171058
Rg norm w/0.406,No regr out,All,1,Linear,85/15,0.043080705891588966,0.09674666168902772
Rg norm w/0.406,No regr out,Inliers,1,Linear,85/15,0.3533319668782654,0.0998089907827958
Rg norm w/0.406,No regr out,All,1,Ridge,85/15,0.09908663210122037,0.09387281647676518
Rg norm w/0.406,No regr out,Inliers,1,Ridge,85/15,0.3514542855163596,0.09995378968083499
Rg norm w/0.406,No regr out,All,1,Lasso,85/15,0.04562443299322083,0.0966179878963381
Rg norm w/0.406,No regr out,Inliers,1,Lasso,85/15,0.34355617374172864,0.10056057591365647
Rg norm w/0.406,No regr out,All,1,Kernel Ridge,85/15,-0.02980724510685362,0.100363616936026
Rg norm w/0.406,No regr out,Inliers,1,Kernel Ridge,85/15,0.4559260704902016,0.09154991088898454
Rg norm w/0.406,No regr out,All,1,GPR,85/15,-5.297278911497455,0.24818458137908472
Rg norm w/0.406,No regr out,Inliers,1,GPR,85/15,-1.6188915856069621,0.2008573497146741
Rg norm w/0.406,No regr out,All,1,Linear,90/10,-0.24615503392305982,0.0815736495944871
Rg norm w/0.406,No regr out,Inliers,1,Linear,90/10,0.3186299154397946,0.0916852658434497
Rg norm w/0.406,No regr out,All,1,Ridge,90/10,-0.04601680404988051,0.07473657403050706
Rg norm w/0.406,No regr out,Inliers,1,Ridge,90/10,0.2049304625308409,0.09903998698458052
Rg norm w/0.406,No regr out,All,1,Lasso,90/10,-0.15169201669695576,0.07842093809023759
Rg norm w/0.406,No regr out,Inliers,1,Lasso,90/10,0.30722160662547104,0.0924496315597644
Rg norm w/0.406,No regr out,All,1,Kernel Ridge,90/10,0.016831294622501436,0.07245658782720998
Rg norm w/0.406,No regr out,Inliers,1,Kernel Ridge,90/10,0.47748182090102187,0.08028949381616485
