Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,GPR,0.0820736400171861
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,Kernel Ridge,0.08251632152070225
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,0.08253162258358476
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,50,GPR,0.08274438198735327
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,20,GPR,0.08324765368878914
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,0.0836490561094083
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,0.08370960175051828
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,10,GPR,0.08381183305173573
Rg norm w/0.427,No regr out,Inliers,ProtBERT,100,Kernel Ridge,0.08398571259825771
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,Linear,0.0841994430248456
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,190,GPR,0.08491227810872161
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,Ridge,0.08513189408479642
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,Ridge,0.0851319548581227
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,0.08538761008679203
Rg norm w/0.427,No regr out,Inliers,ProtBERT,100,Ridge,0.08591828040720802
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,Ridge,0.08591837486808195
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,100,GPR,0.08621834853513266
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Ridge,0.08644519452563625
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,50,Ridge,0.08644537173170935
Rg norm w/0.418,No regr out,Inliers,ProtBERT,190,Kernel Ridge,0.08670626083349618
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,0.08671272932978034
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Kernel Ridge,0.08676662740907577
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,10,Kernel Ridge,0.08688458384048818
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,50,GPR,0.08689923093749968
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,20,GPR,0.08744291955925106
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Kernel Ridge,0.08782546864836609
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,10,GPR,0.08794209181706614
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,0.08799642392313396
Rg norm w/0.418,No regr out,Inliers,ProtBERT,100,Kernel Ridge,0.08824082775791292
Rg norm w/0.418,No regr out,All,ProtBERT,50,Kernel Ridge,0.08824349583366226
Rg norm w/0.418,No regr out,All,ProtBERT,20,Kernel Ridge,0.08833844473287185
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,GPR,0.08859146434895028
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,0.08863532007985321
Rg norm w/0.418,No regr out,Inliers,ProtBERT,190,Ridge,0.0895063836573397
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,190,Ridge,0.08950644478769659
Rg norm w/0.418,No regr out,All,ProtBERT,100,Kernel Ridge,0.08973493510941227
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,20,Ridge,0.0898357711590736
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Ridge,0.08983697432142922
Rg norm w/0.418,No regr out,All,ProtBERT,190,Kernel Ridge,0.09007296972582919
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,Lasso,0.09024960964636809
Rg norm w/0.427,No regr out,Inliers,ProtBERT,100,Lasso,0.09024990715382153
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,Lasso,0.09026372167141618
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,Lasso,0.09026401495164171
Rg norm w/0.418,No regr out,Inliers,ProtBERT,100,Ridge,0.09032834985010836
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,100,Ridge,0.09032844790725565
Rg norm w/0.418,No regr out,All,ProtBERT,10,Kernel Ridge,0.09056812181113817
Rg norm w/0.418,No regr out,Inliers,ProtBERT,50,Ridge,0.09088322631802415
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,50,Ridge,0.09088339762513026
Rg norm w/0.418,No regr out,Inliers,ProtBERT,50,Kernel Ridge,0.09113077541147317
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,10,Kernel Ridge,0.09120739228888099
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,20,Linear,0.09125505295674403
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Linear,0.09125644724940453
Rg norm w/0.5,buffer regr out,All,ProtBERT,190,GPR,0.09150326142304523
Rg norm w/0.5,buffer regr out,All,ProtBERT,100,GPR,0.09152302587185186
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Kernel Ridge,0.09160800890268699
Rg norm w/0.5,buffer regr out,All,ProtBERT,10,GPR,0.0916107847197244
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,GPR,0.09161636680767755
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,20,Lasso,0.09167393192416882
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Lasso,0.0916749131006534
Rg norm w/0.5,buffer regr out,All,ProtBERT,50,GPR,0.0917871635245985
Rg norm w/0.5,buffer regr out,All,ProtBERT,100,Kernel Ridge,0.09204727630757448
Rg norm w/0.5,buffer regr out,All,ProtBERT,190,Kernel Ridge,0.09212152357949231
Rg norm w/0.418,No regr out,Inliers,ProtBERT,20,Kernel Ridge,0.09235178075567031
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,50,Lasso,0.09290833571681036
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Lasso,0.09290883313100094
Rg norm w/0.5,buffer regr out,All,ProtBERT,50,Kernel Ridge,0.09292766833371674
Rg norm w/0.418,No regr out,Inliers,ProtBERT,190,GPR,0.09297007884300841
Rg norm w/0.5,buffer regr out,All,ProtBERT,10,Kernel Ridge,0.09304372242982052
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,Kernel Ridge,0.0932996309568583
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,20,Ridge,0.09450549338717608
Rg norm w/0.418,No regr out,Inliers,ProtBERT,20,Ridge,0.09450674366416939
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,100,Lasso,0.09577854980729021
Rg norm w/0.418,No regr out,Inliers,ProtBERT,100,Lasso,0.09577935729517884
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,20,Linear,0.09597390515952207
Rg norm w/0.418,No regr out,Inliers,ProtBERT,20,Linear,0.09597535840744996
Rg norm w/0.418,No regr out,Inliers,ProtBERT,10,Kernel Ridge,0.09606702288876828
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,10,Ridge,0.09611082787411392
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Ridge,0.09611192427293054
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,20,Lasso,0.09621341946560164
Rg norm w/0.418,No regr out,Inliers,ProtBERT,20,Lasso,0.0962145443384081
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,190,Lasso,0.09640192311620309
Rg norm w/0.418,No regr out,Inliers,ProtBERT,190,Lasso,0.09640238547584472
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Lasso,0.09663728378121923
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Lasso,0.09663751197230473
Rg norm w/0.418,No regr out,All,ProtBERT,100,Lasso,0.09663932493801618
Rg norm w/0.418,No regr out,All,ProtBERT,190,Lasso,0.09663955365957437
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Lasso,0.09668128023391921
Rg norm w/0.418,No regr out,All,ProtBERT,50,Lasso,0.0966833968181222
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Lasso,0.09705275163147525
Rg norm w/0.418,No regr out,All,ProtBERT,10,Lasso,0.09705434851211169
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,10,Linear,0.09710094202156085
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Linear,0.09710207954614793
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,10,Lasso,0.09727840589398833
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Lasso,0.09727939287353075
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Lasso,0.09756839258019223
Rg norm w/0.418,No regr out,All,ProtBERT,20,Lasso,0.0975703827699616
Rg norm w/0.427,No regr out,Inliers,ProtBERT,100,GPR,0.09760413354252369
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,50,Lasso,0.0978542075133193
Rg norm w/0.418,No regr out,Inliers,ProtBERT,50,Lasso,0.09785497360120075
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,GPR,0.09819720641500275
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,GPR,0.09854069882799378
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,50,Kernel Ridge,0.09973142587144068
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,50,Linear,0.09987704409071842
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Linear,0.09987705825392316
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,100,Lasso,0.10046943184010154
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,190,Lasso,0.10053922257713162
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,190,Kernel Ridge,0.10056331149285419
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,190,Ridge,0.10080899870233023
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,100,Kernel Ridge,0.10083639974425618
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,190,GPR,0.10091256043591113
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,10,Ridge,0.10093945282795079
Rg norm w/0.418,No regr out,Inliers,ProtBERT,10,Ridge,0.10094057373946334
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,20,GPR,0.1011408569316067
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,100,GPR,0.10116769113820968
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,50,GPR,0.10119020417124254
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,10,GPR,0.10143790183133883
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,100,Ridge,0.10149214404943906
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,20,Lasso,0.10192376351767163
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,10,Linear,0.1019324043913855
Rg norm w/0.418,No regr out,Inliers,ProtBERT,10,Linear,0.10193356475723116
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,50,Lasso,0.10196362285903565
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,10,Lasso,0.10214636383987623
Rg norm w/0.418,No regr out,Inliers,ProtBERT,10,Lasso,0.10214745395952622
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,Linear,0.10218624640047523
Rg norm w/0.418,No regr out,Inliers,ProtBERT,100,GPR,0.10241817753580985
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,50,Ridge,0.10271171610146022
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,20,Kernel Ridge,0.10271317644574
Rg norm w/0.418,No regr out,Inliers,ProtBERT,50,GPR,0.10310419709193241
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Ridge,0.10409547887629995
Rg norm w/0.418,No regr out,All,ProtBERT,20,Ridge,0.10409629686917045
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,10,Kernel Ridge,0.1043182851110313
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,50,Kernel Ridge,0.1043976457111524
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,10,Lasso,0.1045621460417175
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,50,Linear,0.10479909743043546
Rg norm w/0.418,No regr out,Inliers,ProtBERT,50,Linear,0.10479914638919506
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,190,Kernel Ridge,0.10485672896445103
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,Linear,0.10497537900943994
