Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,pH regr out,All,ProtBERT,10,GPR,90/10,0.4364659387467707,0.0527330409811334,3
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,GPR,90/10,0.0142395686953111,0.0527801174696896,2
Rg norm w/0.418,No regr out,All,ProtBERT,50,Ridge,90/10,-0.1566711005809724,0.0529983200935496,1
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Ridge,90/10,-0.1569386195572979,0.0530007769916936,1
Rg norm w/0.5,pH regr out,All,ProtBERT,20,GPR,85/15,0.1881041349064428,0.053070463100523,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Lasso,85/15,0.2315387348463271,0.0530721613364039,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Lasso,85/15,0.231531448677146,0.0530724129377839,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Lasso,85/15,0.2315430233447983,0.0530733201086232,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Lasso,85/15,0.2315357365220625,0.0530735717394695,4
Rg norm w/0.427,pH regr out,All,ProtBERT,190,Kernel Ridge,90/10,0.4190522315224917,0.053117510975078,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.0006830365804485,0.0531416558306102,2
Rg norm w/0.5,pH regr out,All,ProtBERT,20,GPR,85/15,0.3896299426064299,0.0532300939484074,3
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.1476485139088068,0.0532571708132228,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,190,GPR,90/10,0.5147332127053138,0.0532952141720398,2
Rg norm w/0.5,pH regr out,All,ProtBERT,50,GPR,85/15,0.1810734543989975,0.0532997518528867,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Lasso,90/10,0.1519355059526825,0.0533158418935198,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Lasso,90/10,0.1518892199325033,0.0533191398977812,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Ridge,85/15,0.224207940338496,0.0533247034335043,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Ridge,85/15,0.2241877892420825,0.0533267090799355,4
Rg norm w/0.5,pH regr out,All,ProtBERT,100,GPR,85/15,0.3872564309987202,0.0533334899600389,3
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Ridge,90/10,0.1511540540450812,0.0533404002692448,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Ridge,90/10,0.1511236297988739,0.053343200079751,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,Ridge,90/10,0.4112975328263474,0.0533977768542439,1
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,GPR,90/10,0.6839728381681687,0.0534305686162224,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,GPR,85/15,0.2206528205513374,0.0534480619014871,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Kernel Ridge,85/15,0.2198860042722615,0.0534730330443604,4
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Kernel Ridge,85/15,0.3826874460193002,0.0535319639682077,3
Rg norm w/0.5,pH regr out,All,ProtBERT,190,GPR,85/15,0.1719268655437548,0.0535965777501875,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.6819160574596616,0.0536041561267571,1
Rg norm w/0.418,pH regr out,All,ProtBERT,50,Kernel Ridge,90/10,0.460169430483197,0.0536263332781657,1
Rg norm w/0.427,pH regr out,All,ProtBERT,20,GPR,90/10,0.4070822984877361,0.0536619413862924,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Lasso,85/15,0.2140225142873201,0.0536736137574211,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Lasso,85/15,0.2140274615936355,0.0536747665041779,4
Rg norm w/0.427,No regr out,All,ProtBERT,20,Kernel Ridge,90/10,0.4066885971127032,0.0536844761086032,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,GPR,85/15,0.1691841373240344,0.0536852651607404,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.6808572836765122,0.0536932953721668,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.1321783697436209,0.05373841043644,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Lasso,90/10,0.3451878129233767,0.0538721692169794,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Lasso,90/10,0.3452242706459844,0.0538738422816438,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Lasso,90/10,0.3451467174117882,0.0538738596785067,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Lasso,90/10,0.3451831679307476,0.0538755331861389,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Kernel Ridge,85/15,0.1622103378097603,0.0539101091501191,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Ridge,90/10,-0.0290896875534298,0.053927622599399,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Ridge,90/10,-0.0290976118590171,0.0539276800824899,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Ridge,85/15,0.2061121763904491,0.053943032094043,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Ridge,85/15,0.2060995097374863,0.0539447907480388,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,Ridge,90/10,0.3991695438551845,0.0539450025141833,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Linear,90/10,0.3419658914481603,0.0540045422212521,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Linear,90/10,0.3419210084967227,0.0540095647394684,1
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Kernel Ridge,85/15,0.1568360991594956,0.0540827435580117,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,Lasso,90/10,0.1257389045078132,0.0541330388092319,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,Lasso,90/10,0.125745237394426,0.0541347140158513,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Lasso,90/10,0.3377884203112059,0.0541756925395145,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Lasso,90/10,0.3378148883718974,0.0541778005458548,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Kernel Ridge,85/15,0.3675599517002461,0.0541839053559227,3
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Linear,90/10,0.12322690392131,0.0542107528280314,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Linear,90/10,0.1231913926471851,0.0542137246452887,4
Rg norm w/0.418,pH regr out,All,ProtBERT,50,GPR,90/10,0.44749671402805,0.0542521305937538,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,GPR,80/20,0.2688057211454474,0.0543386666775524,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,GPR,90/10,0.1188710046664055,0.054345248296397,4
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Kernel Ridge,80/20,0.2663171886704741,0.0543801225741048,3
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,80/20,0.2670237884163818,0.054404838507944,4
Rg norm w/0.418,pH regr out,All,ProtBERT,100,Kernel Ridge,90/10,0.443217494719233,0.0544618207268336,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,GPR,90/10,-0.0516433622095382,0.0545153624942655,2
Rg norm w/0.418,pH regr out,All,ProtBERT,100,GPR,90/10,0.4418849781407374,0.0545269520034137,1
Rg norm w/0.5,pH regr out,All,ProtBERT,50,GPR,85/15,0.326865980815023,0.054527419809556,1
