Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,90/10,0.2056587871123271,1.6127636870589042
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,90/10,-0.17858477642138926,1.9644799562006658
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,90/10,-0.7205195772867625,2.373542419873653
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,80/20,-2.0753639390428082,2.385861528317187
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,80/20,0.536044689646364,0.9266912246163036
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,80/20,0.45380662046324616,1.0054724868774927
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,80/20,0.430437890948451,1.026756640314839
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,80/20,0.34153076709853114,1.1039889312511264
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,85/15,-2.6238470121198745,2.743649482809219
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,85/15,0.673768526442666,0.8232024009697599
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,85/15,0.5279858400784279,0.9901961037748669
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,85/15,0.6839718411100404,0.8102267734157141
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,85/15,0.5399922162017037,0.9775214359396985
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,90/10,-2.606772799492664,2.8194104872015737
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,90/10,0.5685861044669964,0.9750928739488466
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,90/10,0.3817329578857519,1.1673120428735984
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.6168163757560575,0.9189722310300714
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,90/10,0.41133330535644796,1.1390260338258171
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,80/20,-0.747887320966488,4.701808939567186
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,80/20,-0.1122475777670009,3.7506712169669614
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,80/20,-0.039717705936911374,3.626318798212934
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,80/20,-0.07112370333849705,3.6806801277125745
Rg w/no norm,No regr out,All,ProtBERT,190,GPR,80/20,-0.07238645797633936,3.6828490774169462
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,85/15,-7.236353173783227,4.691632955776333
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,85/15,-0.42528661677559776,1.9516756848295094
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,85/15,-0.5052041952126749,2.005645889978133
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,85/15,-0.2653235693290754,1.8388967563111476
Rg w/no norm,No regr out,All,ProtBERT,190,GPR,85/15,-0.6742431946624083,2.11527004379404
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,90/10,-3.208079898630724,3.71201033788159
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,90/10,0.11166312531034717,1.705516924573296
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,90/10,0.20562090183191728,1.6128021461461448
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,90/10,-0.16067136460841258,1.9494936433335595
Rg w/no norm,No regr out,All,ProtBERT,190,GPR,90/10,-0.5138594465145843,2.2264347205759156
