Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.40782087995679717,2.4972242153584983
Rg w/no norm,expr pH only regr out,All,-1,GPR,80/20,0.26276446897046013,2.786340075396046
Rg w/no norm,expr pH only regr out,All,-1,Linear,85/15,-11392932572.998234,360328.0422420381
Rg w/no norm,expr pH only regr out,All,-1,Ridge,85/15,0.5995760487263717,2.1361921849091483
Rg w/no norm,expr pH only regr out,All,-1,Lasso,85/15,0.47008943555409755,2.457432442287803
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.4370289278010223,2.5329308775911676
Rg w/no norm,expr pH only regr out,All,-1,GPR,85/15,0.333416551993338,2.756179900036351
Rg w/no norm,expr pH only regr out,All,-1,Linear,90/10,-37312948068.618866,364355.3716424462
Rg w/no norm,expr pH only regr out,All,-1,Ridge,90/10,0.41470466992199706,1.4430551341669182
Rg w/no norm,expr pH only regr out,All,-1,Lasso,90/10,0.2584821394455258,1.6242624445324534
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.4235622754717797,1.4320942215397088
Rg w/no norm,expr pH only regr out,All,-1,GPR,90/10,-0.08874106027759487,1.9681477398095486
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,80/20,-13734051360.37236,39512.83081490862
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,80/20,0.3282653816541855,0.27633613347944447
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,80/20,0.3172770727944565,0.27858713374443583
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.3195775758118583,0.2781173741143547
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,80/20,0.33896080058254785,0.27412738184700836
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,85/15,-13085118514.169722,41537.25942620484
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,85/15,0.3809401913555588,0.28570333721626834
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,85/15,0.3855758744474115,0.2846316161494513
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.37157377218878673,0.2878565790766985
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,85/15,0.3706139325227722,0.2880763270195286
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,90/10,-54142739551.418884,42001.02432163964
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,90/10,-0.022258612467381145,0.18250306303254377
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,90/10,0.3323363680328476,0.1474920558063705
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.35916109222222625,0.1444987880355374
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,90/10,-0.12724311858306736,0.19164547309329746
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,80/20,-22226983549.55015,40529.94002936031
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,80/20,0.43881647211560804,0.20365175383461653
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,80/20,0.2826707595572654,0.23024752166507945
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.30541838231265883,0.22656735768582353
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,80/20,0.16088601160070715,0.24902685142227096
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,85/15,-22662672362.147625,42606.49014523605
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,85/15,0.5486788041069249,0.1901354356929677
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,85/15,0.3914107920482942,0.22079148602887436
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.4011169210748462,0.21902375500702587
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,85/15,0.18459589263212361,0.25556810130845736
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,90/10,-62507900085.76131,43082.3622842742
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,90/10,0.1274566765297538,0.16096281316322109
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,90/10,0.21014309707944123,0.15314621326225605
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.3013874534975949,0.1440290991211708
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,90/10,-0.21742515403096885,0.19013111241331054
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,80/20,-7689145508.579623,28410.758326806234
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,80/20,0.3258493236252563,0.26602489066226187
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,80/20,0.31381768752884676,0.26838827910808877
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.31610460338824964,0.26794066215620155
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,80/20,0.4664319257641335,0.23666754404480966
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,85/15,-6992234754.451435,29866.363097043326
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,85/15,0.3508793296205651,0.2877643962840081
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,85/15,0.33966289154005636,0.2902399510520854
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.34089162825073416,0.28996979014958185
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,85/15,0.487945290435454,0.25558332909601883
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,90/10,-44043549234.40914,30199.641595165183
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,90/10,0.11330729472516077,0.13550246695618376
