Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.13789659501015705,1.1585436286658168
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.40006474638867007,0.8074188055212922
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-1.696578319106547,2.0489871377609563
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,-5.373843676417817,2.6317666112390015
Rg w/no norm,No regr out,All,1,GPR,90/10,-5.001812631516418,3.05684860087546
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-5.0153076240501555,2.556675383628262
Rg norm w/0.427,No regr out,All,1,Linear,80/20,0.30544065175468393,0.24014366135094184
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,0.0919879772115455,0.09180786547652664
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,0.08061293567741168,0.2762903024521524
Rg norm w/0.427,No regr out,Inliers,1,Ridge,80/20,0.11506603339241084,0.09063366105804344
Rg norm w/0.427,No regr out,All,1,Lasso,80/20,0.07533924767565603,0.2770815825401937
Rg norm w/0.427,No regr out,Inliers,1,Lasso,80/20,0.21436248009916947,0.08539750821145885
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,80/20,0.09993512599770371,0.2733715743893892
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,80/20,-8.953962939527761,0.30397096376455546
Rg norm w/0.427,No regr out,All,1,GPR,80/20,-0.710681395605222,0.37687819692876534
Rg norm w/0.427,No regr out,Inliers,1,GPR,80/20,-8.576071728004493,0.2981451753833513
Rg norm w/0.427,No regr out,All,1,Linear,85/15,0.3442111758962053,0.2610404946565589
Rg norm w/0.427,No regr out,Inliers,1,Linear,85/15,-0.46952542783052476,0.09647336661402407
Rg norm w/0.427,No regr out,All,1,Ridge,85/15,0.07721731758177186,0.309653216788907
Rg norm w/0.427,No regr out,Inliers,1,Ridge,85/15,-0.4086806380036301,0.09445504392914265
Rg norm w/0.427,No regr out,All,1,Lasso,85/15,0.0716571400461321,0.31058471514367014
Rg norm w/0.427,No regr out,Inliers,1,Lasso,85/15,-0.051045726039261385,0.08158863868273804
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,85/15,-0.027285755591220706,0.32671683346435204
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,85/15,-10.607383840879928,0.2711352945532175
Rg norm w/0.427,No regr out,All,1,GPR,85/15,-0.457311699492047,0.3891366213909045
Rg norm w/0.427,No regr out,Inliers,1,GPR,85/15,-10.222578066873282,0.26660310260421644
Rg norm w/0.427,No regr out,All,1,Linear,90/10,-5.533662295162579,0.18855121805125158
Rg norm w/0.427,No regr out,Inliers,1,Linear,90/10,-0.45285230990633774,0.09820028517848652
Rg norm w/0.427,No regr out,All,1,Ridge,90/10,-0.5707843068458025,0.0924505028099256
Rg norm w/0.427,No regr out,Inliers,1,Ridge,90/10,-0.37945904502816097,0.09568776713449936
Rg norm w/0.427,No regr out,All,1,Lasso,90/10,-0.5007903388440378,0.09036723896953038
Rg norm w/0.427,No regr out,Inliers,1,Lasso,90/10,0.005090915840341936,0.08126316125922277
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,90/10,-10.677966368391889,0.2520778062842213
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,90/10,-10.539638251422252,0.27675668004944226
Rg norm w/0.427,No regr out,All,1,GPR,90/10,-20.911993797872917,0.34529631913564063
Rg norm w/0.427,No regr out,Inliers,1,GPR,90/10,-10.110676561279469,0.2715640440851683
Rg norm w/0.427,No regr out,All,2,Linear,80/20,0.2783904809052171,0.2447752901924101
