Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,pH regr out,All,-1,Ridge,90/10,0.2256326909653294,0.20581622030286523
Rg norm w/0.427,pH regr out,All,-1,Lasso,90/10,-0.26219988860349,0.2227984176602112
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,90/10,0.227555193335246,0.19655573015517838
Rg norm w/0.427,pH regr out,All,-1,GPR,90/10,0.2070763599303237,0.1996590928777049
Rg norm w/0.5,pH regr out,All,-1,Linear,80/20,-2013.7114127648624,1249.2856746954744
Rg norm w/0.5,pH regr out,All,-1,Ridge,80/20,0.0998530229138329,0.18935616450454748
Rg norm w/0.5,pH regr out,All,-1,Lasso,80/20,-0.1747396571290722,0.1997326191389588
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,80/20,0.0891116178586084,0.1508159036187292
Rg norm w/0.5,pH regr out,All,-1,GPR,80/20,0.0908965378291287,0.14668811293675366
Rg norm w/0.5,pH regr out,All,-1,Linear,85/15,-1746.331170097655,4703.88296277794
Rg norm w/0.5,pH regr out,All,-1,Ridge,85/15,0.1729027983852669,0.20827491032717244
Rg norm w/0.5,pH regr out,All,-1,Lasso,85/15,-0.0938177199806598,0.22193407897444395
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,85/15,0.1214476019965461,0.16785585473346
Rg norm w/0.5,pH regr out,All,-1,GPR,85/15,0.1214968807897468,0.161350526740617
Rg norm w/0.5,pH regr out,All,-1,Linear,90/10,-20328379860.282845,8321.311116036368
Rg norm w/0.5,pH regr out,All,-1,Ridge,90/10,0.2965824759257697,0.14578953591609983
Rg norm w/0.5,pH regr out,All,-1,Lasso,90/10,-0.1303081924924993,0.15739661691088314
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,90/10,0.2459666947705633,0.14345548781852094
Rg norm w/0.5,pH regr out,All,-1,GPR,90/10,0.2303202381857266,0.1439499205463542
Rg norm w/0.418,pH regr out,All,-1,Linear,80/20,-2094.5248646863024,1836.4888292884523
Rg norm w/0.418,pH regr out,All,-1,Ridge,80/20,-0.0160386362757234,0.28148902182284175
Rg norm w/0.418,pH regr out,All,-1,Lasso,80/20,-0.352127412801055,0.29233415924403083
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,80/20,0.0648786088345658,0.22129979122772614
Rg norm w/0.418,pH regr out,All,-1,GPR,80/20,0.0662865772259115,0.2153486269480181
Rg norm w/0.418,pH regr out,All,-1,Linear,85/15,-1818.648649841234,6915.226664194852
Rg norm w/0.418,pH regr out,All,-1,Ridge,85/15,0.0826875629761015,0.31406013810457567
Rg norm w/0.418,pH regr out,All,-1,Lasso,85/15,-0.2136326884635597,0.3183009109213565
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,85/15,0.1074894990206923,0.2455341895664737
Rg norm w/0.418,pH regr out,All,-1,GPR,85/15,0.1072532041366582,0.23584637295996527
Rg norm w/0.418,pH regr out,All,-1,Linear,90/10,-20401937634.70955,12233.326975003869
Rg norm w/0.418,pH regr out,All,-1,Ridge,90/10,0.2180850937795351,0.21488990000335145
Rg norm w/0.418,pH regr out,All,-1,Lasso,90/10,-0.2812065169541491,0.23281816861152102
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,90/10,0.2253383782571171,0.20497030558804824
Rg norm w/0.418,pH regr out,All,-1,GPR,90/10,0.2033017540276547,0.20817079040341543
Rg w/no norm,buffer regr out,All,-1,Linear,80/20,-12319789.02521876,14192.514199686193
Rg w/no norm,buffer regr out,All,-1,Ridge,80/20,-0.1931798663106843,2.3077550682693277
Rg w/no norm,buffer regr out,All,-1,Lasso,80/20,-0.9504725870978036,2.410699679996817
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,80/20,0.0951075613120346,2.2637798655795414
Rg w/no norm,buffer regr out,All,-1,GPR,80/20,-0.008904699699499,1.9086006990651085
Rg w/no norm,buffer regr out,All,-1,Linear,85/15,-14900699.739692597,43609.90806580405
Rg w/no norm,buffer regr out,All,-1,Ridge,85/15,-0.6203808264653894,2.550098314277535
Rg w/no norm,buffer regr out,All,-1,Lasso,85/15,-1.0678363585018733,2.6704335658259994
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,85/15,-0.1141889273465526,2.489641623026892
Rg w/no norm,buffer regr out,All,-1,GPR,85/15,-0.3671978533475053,2.0495724097761854
Rg w/no norm,buffer regr out,All,-1,Linear,90/10,-6179798514.511899,75012.91930396936
Rg w/no norm,buffer regr out,All,-1,Ridge,90/10,-0.271448259339933,1.767830910767761
Rg w/no norm,buffer regr out,All,-1,Lasso,90/10,-0.7475353048806639,1.88044688808144
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,90/10,-0.0953959296656883,1.7971707345687264
Rg w/no norm,buffer regr out,All,-1,GPR,90/10,-0.2904841696593443,1.7970070108843845
Rg norm w/0.427,buffer regr out,All,-1,Linear,80/20,-22542573.970391057,1178.0924867801202
Rg norm w/0.427,buffer regr out,All,-1,Ridge,80/20,-0.2179786248010635,0.2723958591149831
Rg norm w/0.427,buffer regr out,All,-1,Lasso,80/20,-0.3371185064467066,0.2818651832182196
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,80/20,0.1760066363442882,0.24617095221411928
Rg norm w/0.427,buffer regr out,All,-1,GPR,80/20,0.2237238416898517,0.21276198395443768
Rg norm w/0.427,buffer regr out,All,-1,Linear,85/15,-22814750.49340028,2993.426645048844
Rg norm w/0.427,buffer regr out,All,-1,Ridge,85/15,-0.169573484059827,0.30131052903773103
Rg norm w/0.427,buffer regr out,All,-1,Lasso,85/15,-0.2804600445413516,0.32100743296772966
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,85/15,0.0727548970645693,0.27485968718621817
Rg norm w/0.427,buffer regr out,All,-1,GPR,85/15,0.0718502713204797,0.23598066406175072
Rg norm w/0.427,buffer regr out,All,-1,Linear,90/10,-2575055856.714328,4976.890801009422
Rg norm w/0.427,buffer regr out,All,-1,Ridge,90/10,0.1618359180190057,0.2149810596434706
Rg norm w/0.427,buffer regr out,All,-1,Lasso,90/10,-0.2166591158087951,0.23179900733467282
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,90/10,0.0194161001149328,0.2140739188221068
Rg norm w/0.427,buffer regr out,All,-1,GPR,90/10,-0.0052704208813996,0.21461657983392687
Rg norm w/0.5,buffer regr out,All,-1,Linear,80/20,-39477539.14253031,1209.2288070457828
Rg norm w/0.5,buffer regr out,All,-1,Ridge,80/20,0.0556897868520848,0.1902751316290429
Rg norm w/0.5,buffer regr out,All,-1,Lasso,80/20,-0.1958090013374251,0.201889048247258
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,80/20,0.1532902391145089,0.17533897785251829
Rg norm w/0.5,buffer regr out,All,-1,GPR,80/20,0.2041537731612391,0.15188998656658953
Rg norm w/0.5,buffer regr out,All,-1,Linear,85/15,-39486124.15312094,3132.692579812557
