Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,-0.1319972623501775,0.06571798099003828
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.42704918465651276,0.07378719397394948
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-2.0687824116381934,0.1082043130875945
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.08637307809119932,0.06012555219947286
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.03306060428278257,0.058631699215047406
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.06805805775659701,0.059616573505555444
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.05831129681102698,0.05597875830953051
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-2.671740126552152,0.11053645914465712
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.3142667150035585,0.060943193370423455
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.25506397265630154,0.059554747012443204
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.2858503189844883,0.06028075193822407
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.19533768091680037,0.05812042182020494
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-3.842540730634995,0.11698228326802622
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.8708757674866852,0.10033944763758348
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.7684634910247798,0.09755449391246335
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.43184332339872666,0.08778028375673352
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.10441963819893996,0.07709323877024359
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,80/20,-5.611259088821632,0.18862155443208817
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.9682333395964349,0.09137112087628217
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.877657505466428,0.0892439633861875
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.430762277682035,0.07790303925358809
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.011549313082252377,0.06475125113528134
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,85/15,-5.479456172794607,0.16578297883237428
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.41299729767469096,0.07599859074122448
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.34932612014381204,0.07426656499693926
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.2110946136024523,0.07035968878137881
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.07015359529856724,0.061651050565465465
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,90/10,-5.090811795729173,0.15778745216800708
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,-0.1939048832557113,0.10752295023573974
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,-0.08941688309317009,0.10271014884027357
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,-0.0911727781963727,0.10279288834913057
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.06189417152277499,0.10140442958005944
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-1.706632595217238,0.1618940775834362
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.047874759400668765,0.09341966112283984
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.03321240908541334,0.09276377302405352
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.0017862301244380152,0.09134212834032707
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.08796914326323402,0.087154208643882
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-2.3266047301310353,0.16645015280881645
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.09521194148656642,0.0930039089249336
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.08955310218067059,0.09276332728797412
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.06310872565313175,0.09163069030189332
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.03992653123340917,0.09062613237990029
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-2.728075596570561,0.17159098691182656
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Linear,80/20,-0.02595165581042358,1.5072118381464588
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Ridge,80/20,0.04818064372894304,1.4517375638647672
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Lasso,80/20,0.18505905701197634,1.3433027905300983
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.5259211072826666,1.8381328154586918
Rg w/no norm,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.04121273113381507,1.4570416873583385
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Linear,85/15,0.0609001574159489,1.493874827553381
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Ridge,85/15,0.08310066871193178,1.476111464889344
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Lasso,85/15,0.20089329206381967,1.378036476747787
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,-0.17875237760874918,1.673669170129151
Rg w/no norm,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.15566024904684428,1.4165011890763464
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Linear,90/10,-0.01931089360055771,1.245677601026603
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Ridge,90/10,0.06790294867708213,1.1911950760580563
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Lasso,90/10,0.1560071169217918,1.1335004966063078
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.11504774686901431,1.1606793080840532
Rg w/no norm,pH regr out,All,ProtBERT,high,10,GPR,90/10,-0.04905624383206675,1.2637224738337363
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.25632093737061157,1.4520501878610603
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.22437260684917126,1.48291213607848
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.23658404147880197,1.4711923810961027
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.3656791730295289,1.3410449515011453
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,0.37026667593021023,1.3361868332750462
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.24611147984445836,1.3282454546832285
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.2298806769624705,1.3424675090857427
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.24913882381911567,1.3255758950142724
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.39734970048027995,1.1875651973084853
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,0.3986618252648323,1.1862716753244626
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.28420644790361793,1.2696718451243787
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.2943606867918426,1.260633902688216
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.2896703904394643,1.264816601754027
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,0.6319007227135203,0.9105002736779002
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.6285491303822426,0.9146359933115664
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Linear,80/20,-0.8535471283687681,0.14359346228221845
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Ridge,80/20,-0.7420834812256334,0.13920900588607468
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Lasso,80/20,-0.34812396415955194,0.12246098974534136
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.23969408133909875,0.09196594470201332
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.07525537761926238,0.10142470611793032
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Linear,85/15,-0.9285384465135242,0.13348390821810216
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Ridge,85/15,-0.8455537457557984,0.1305804351896773
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Lasso,85/15,-0.20636713877557233,0.10557340100022759
