Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,0.271345321956984,1.2715076288167912
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,0.29358983114555104,1.2519487839040078
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,0.2420204971817257,1.2968412684552915
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,-0.4418764656039649,1.788636620037534
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,0.22299266848038357,1.3714182146037093
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.24646645519814192,1.3505437274008463
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,0.269891147940333,1.329386187117064
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.21768378028435909,1.376095333891537
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,-0.7015459430120996,2.029453920256697
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,80/20,-0.8343994154369612,1.9163092069509147
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,80/20,0.13111078988505065,1.3188664986361653
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,80/20,0.14227425188328513,1.310366730968575
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,80/20,-0.004183529428366972,1.4178333300911743
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,80/20,-0.30003562412167684,1.6132298939917185
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,85/15,-0.8419934337500401,1.9233934749449835
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,85/15,0.31139557234439186,1.1760045578693359
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,85/15,0.34927134498420076,1.143204868369526
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,85/15,0.22172246670585527,1.2502341182539596
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,85/15,-0.0643495168846262,1.4620634932689578
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,90/10,-0.9026557799613866,1.9481835300052652
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,90/10,0.2868933344409881,1.1926884211547204
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,90/10,0.31734030311374684,1.1669490287829858
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,90/10,0.19150640869534563,1.2699541627340967
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,90/10,0.02409621699972042,1.3952539344846504
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,80/20,-1.6258556460772495,2.2927360424513044
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,80/20,0.3534467209181579,1.1376817562385098
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,80/20,0.4850152964817692,1.0153500610283985
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,80/20,0.2607439156652962,1.2165111345585784
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,80/20,-0.9247490729923364,1.962933984557205
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,85/15,-1.0928684634159271,2.050194510982061
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,85/15,0.4190050016609449,1.0802152305735655
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,85/15,0.4209223464945617,1.0784313454521943
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,85/15,0.30917110152626137,1.1779025115034025
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,85/15,-0.33452138582499336,1.637143953369418
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,90/10,-0.5825654681376629,1.7767674836742215
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,90/10,0.4189405747844348,1.0766140178992927
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,90/10,0.34262454432771305,1.145134495989964
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,90/10,0.2628402148901332,1.2126363220200616
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,90/10,-0.38725856432838923,1.6635216692796038
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,0.07256639763659467,1.3625738442122262
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,0.17146355386129375,1.2878771655769847
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,80/20,0.15633904181008818,1.299578777142953
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,80/20,0.23015237832979762,1.2414265255943386
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,80/20,-0.7478107738665922,1.8705350076547194
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,85/15,0.1806038960735158,1.2828357279101499
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,85/15,0.25185683168498607,1.225791080256868
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,85/15,0.2728521414971449,1.208468860882074
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,85/15,0.2600588930392752,1.2190532510075218
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,85/15,-0.23109267472515582,1.572423309361304
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,90/10,0.18562763854191955,1.2745628859401437
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,90/10,0.17662298320034076,1.2815900447971045
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,90/10,0.10772837883873432,1.3341304461639063
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,90/10,0.26337341895260014,1.2121976792790579
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,90/10,-0.18461090026776805,1.5372256319922832
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,80/20,-1.735899291847642,2.3402846712557372
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,80/20,0.13099574200886255,1.3189538099789415
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,80/20,0.14227425188328513,1.310366730968575
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,80/20,-0.004394313708613318,1.417982128238078
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,80/20,-0.30060074293778527,1.6135804872747879
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,85/15,-1.9377502198058658,2.429022475142135
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,85/15,0.31135374139949734,1.1760402769504297
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,85/15,0.34927134498420076,1.143204868369526
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,85/15,0.22164700038635676,1.2502947317731066
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,85/15,-0.0648561387780231,1.4624114171609837
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,90/10,-1.6290743982996587,2.290082843295589
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,90/10,0.28683729764070187,1.1927352816968777
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,90/10,0.31734030311374684,1.1669490287829858
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,90/10,0.19141079728784782,1.2700292520833936
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,90/10,0.02416346043077633,1.3952058645418934
