mean_R2,n_obs,Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type
0.18327257961767027,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,3,20,Kernel Ridge
0.1819307587511223,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,10,110,Kernel Ridge
0.18147861529660972,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,8,50,Kernel Ridge
0.18137449917663415,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,12,50,Kernel Ridge
0.1742778527874313,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,3,110,Kernel Ridge
0.17329421427944264,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,3,10,Kernel Ridge
0.17026100931238058,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,0,110,Kernel Ridge
0.16918640186257267,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,12,110,Kernel Ridge
0.16900955822113803,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,8,20,Kernel Ridge
0.16407292593791625,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,2,10,Kernel Ridge
0.1636149173152632,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,9,50,Kernel Ridge
0.16104215026523022,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,6,104,Kernel Ridge
0.16095649683116992,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,8,110,Kernel Ridge
0.16069334504973007,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,9,110,Kernel Ridge
0.15763402634416135,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,7,10,Kernel Ridge
0.1537956695524017,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,11,110,Kernel Ridge
0.15353843185282337,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,2,20,Kernel Ridge
0.15134012132361385,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,0,110,Kernel Ridge
0.15049258645384783,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,10,50,Kernel Ridge
0.14995398369440652,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,6,50,Kernel Ridge
0.1431607348719052,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,7,20,Kernel Ridge
0.14141817818391858,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,9,10,Kernel Ridge
0.1372003643941403,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,8,10,Kernel Ridge
0.13616867305709376,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,12,20,Kernel Ridge
0.13597363458852693,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,5,10,Kernel Ridge
0.13529870148811785,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,6,110,Kernel Ridge
0.1352905132890679,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,4,20,Kernel Ridge
0.13363044675251495,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,6,20,Kernel Ridge
0.13336242972205317,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,10,20,Kernel Ridge
0.12861289754214802,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,4,10,Kernel Ridge
0.1259141757655432,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,5,110,Kernel Ridge
0.12426097687533015,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,6,10,Kernel Ridge
0.12152102903940604,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,5,50,Kernel Ridge
0.11997153933474108,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,11,10,Kernel Ridge
0.11719598197716766,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,4,10,Kernel Ridge
0.10963577793384435,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,2,10,Kernel Ridge
0.10881299165414028,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,3,10,Kernel Ridge
0.10617242298549684,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,5,10,Kernel Ridge
0.10268526857498284,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,1,10,Kernel Ridge
0.08277450072822025,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,6,20,Kernel Ridge
0.08003632600704808,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,10,10,Kernel Ridge
0.07958863538188513,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,6,10,Kernel Ridge
0.07927690357103276,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,5,20,Kernel Ridge
0.04988476928117558,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,12,10,Kernel Ridge
-0.0006179565609990482,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,5,20,Kernel Ridge
