Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,85/15,0.3858329436544752,0.9773288160821929
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,85/15,0.3726775084950408,0.9877405300333452
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,85/15,0.4025622637077393,0.9639261685516362
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,85/15,-0.7992818815317912,1.672811666223125
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,90/10,0.0955899782451538,1.0599620116655757
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,90/10,0.1350414812859546,1.0365858061410955
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,90/10,0.10879732796611374,1.0521940888578427
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,90/10,0.16858973651279674,1.0162845150868975
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,90/10,-0.3241095527712976,1.28253603756542
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,0.11531010593444335,1.5826300266852495
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,0.20824213341846187,1.497200838125584
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,80/20,-0.06200462616306557,1.7339919315346874
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,80/20,0.21417814423801007,1.491577830596898
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,80/20,-0.19418894135069031,1.8387402827213364
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,85/15,0.1781821950292738,1.5485284651941509
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,85/15,0.17882077884613812,1.5479267154005696
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,85/15,0.17486544604820953,1.5516501476840328
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,85/15,0.161459405198226,1.564204266103237
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,85/15,-0.32569701517491345,1.966769927399498
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,90/10,0.2626185603918092,1.591406607383209
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,90/10,0.23716647202172492,1.618638784352175
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,90/10,0.26297815576925165,1.5910185231339562
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,90/10,0.18732442854301035,1.6706814808729071
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,90/10,-0.5379767745252491,2.298317079621767
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,80/20,-0.3845078494179508,1.9798467690835846
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,80/20,0.2985386475926526,1.4092425323361306
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,80/20,-0.06200462616306557,1.7339919315346874
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,80/20,0.25478277941617655,1.4525306627984065
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,80/20,-0.02576316469201445,1.7041484259419446
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,85/15,0.06139542781759266,1.6549037979116883
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,85/15,0.3451665507776802,1.3822826202304683
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,85/15,-0.05365409104129282,1.7533977656221058
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,85/15,0.1829290423055906,1.5440498123728201
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,85/15,0.012228076758134532,1.6976953481896224
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,90/10,-0.058597021200429866,1.9067791293762202
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,90/10,0.3572320238555492,1.4858062182097838
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,90/10,0.2896536999134445,1.5619607530731763
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,90/10,0.17229911537721843,1.6860551093566167
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,90/10,-0.14923179417032717,1.986730102527313
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,80/20,-0.4527078762936403,2.0280236424255595
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,80/20,0.29853011020909026,1.4092511081524477
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,80/20,-0.06200462616306557,1.7339919315346874
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,80/20,0.25481390229244594,1.452500331102589
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,80/20,-0.025787683814791462,1.7041687932042093
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,85/15,-0.30481499684315505,1.9512184314622405
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,85/15,0.3451567784114734,1.382292934396296
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,85/15,-0.05365409104129282,1.7533977656221058
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,85/15,0.1829582593404988,1.5440222058594955
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,85/15,0.012151790828964892,1.6977609036906463
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,90/10,-0.35222132877919,2.155057919788705
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,90/10,0.3572126343417159,1.485828628195994
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,90/10,0.2896536999134445,1.5619607530731763
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,90/10,0.1722641240676347,1.686090748229236
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,90/10,-0.14931258445893048,1.9867999342524538
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,80/20,-0.9599226810511017,1.634038358442636
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,80/20,0.44585297385076783,0.8688709582206323
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,80/20,0.47897698055840254,0.8425025684314692
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,80/20,0.47748671192380565,0.8437066022065799
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,80/20,0.5454076610181702,0.7869621304191281
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,85/15,-0.3809481184968124,1.4655010251729232
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,85/15,0.6101997243593098,0.7786073806167346
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,85/15,0.5556230856907477,0.831329495914224
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,85/15,0.5976308662371299,0.7910606363065054
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,0.6466181153880936,0.7413436748628252
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,-0.9466159249663442,1.5550621600501817
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.43026041964716033,0.841290167832755
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,0.37741505694722,0.879441436375434
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.4583430599620617,0.8202944508688846
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,0.5005536876441685,0.7876839986262775
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Linear,80/20,0.13117540287274965,1.087949737302681
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Ridge,80/20,0.7488952906273159,0.5848846271883047
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Lasso,80/20,0.6779114963799274,0.6624153530344552
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Kernel Ridge,80/20,0.6909513592551323,0.6488677609548351
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,GPR,80/20,0.745650163267991,0.5886518448205619
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Linear,85/15,0.38254251419144003,0.9799433618764103
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Ridge,85/15,0.7917656012322302,0.5690804704974256
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Lasso,85/15,0.7413700131061565,0.6342155472068245
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Kernel Ridge,85/15,0.7504465187648646,0.6229873977834128
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,GPR,85/15,0.7968706629781721,0.5620614128994974
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Linear,90/10,-0.18508232059987595,1.213338217898934
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Ridge,90/10,0.7147345276270214,0.5952949827655126
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Lasso,90/10,0.6509701920487748,0.6584743720622249
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Kernel Ridge,90/10,0.7240606354025954,0.58548321319206
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,GPR,90/10,0.7193439999009237,0.5904658478120659
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,80/20,0.35372709355635235,0.9383195231392184
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,80/20,0.7488007051762189,0.5849947732063255
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,80/20,0.6779114963799274,0.6624153530344552
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,80/20,0.6953078589386088,0.6442781517168491
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,80/20,0.7462077918554513,0.5880062198632403
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,85/15,0.4719933155136843,0.9061855978392095
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,85/15,0.7903370297305331,0.5710291941012035
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,85/15,0.7413700131061565,0.6342155472068245
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,85/15,0.7847492707951567,0.5785884514536576
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,85/15,0.7955576712594765,0.5638750191568284
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,90/10,0.5644164689458853,0.7356027484863291
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,90/10,0.7149429241056204,0.5950775010589903
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,90/10,0.6509701920487748,0.6584743720622249
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,90/10,0.7241748454518351,0.5853620362312543
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,90/10,0.7197310549477677,0.5900585491314673
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,80/20,-2.323218316318281,3.0673497915467474
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,80/20,0.2985301102090885,1.4092511081524492
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,80/20,-0.06200462616306557,1.7339919315346874
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,80/20,0.2548139022924454,1.4525003311025897
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,80/20,0.023218469201733094,1.66296300444918
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,85/15,-2.0359182253281705,2.9762982883553484
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,85/15,0.3451567784114725,1.3822929343962969
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,85/15,-0.05365409104129282,1.7533977656221058
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,85/15,0.18295825934049825,1.544022205859496
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,85/15,0.08307239906821251,1.6356822575230894
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,90/10,-1.7810886907601833,3.0905976883866595
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,90/10,0.35721263434171624,1.4858286281959938
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,90/10,0.2896536999134445,1.5619607530731763
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,90/10,0.17226412406763403,1.6860907482292367
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,90/10,-0.04256726488243712,1.8922874027500356
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,80/20,-2.7223187273999376,3.246314911923679
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,80/20,0.4497669265659181,1.248122504123327
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,80/20,0.4419807463594325,1.2569223826028162
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,80/20,0.4280564013444669,1.272507849130297
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,80/20,-0.1664622661516093,1.817268987528466
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,85/15,-1.2381156618924622,2.5554811575409273
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,85/15,0.4626927390444604,1.2521108378441106
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,85/15,0.44447695435628254,1.2731584593615255
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,85/15,0.4182689198723958,1.3028444091854063
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,85/15,-0.11762593939216459,1.8058416125668157
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,90/10,-1.6523189753784653,3.0181994254715403
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,90/10,0.4443849591130359,1.3814082738712574
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,90/10,0.4504904838509338,1.3737973198983249
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,90/10,0.4067882520221038,1.427381052605039
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,90/10,-0.189178488620386,2.020964003781632
Rg w/no norm,No regr out,All,ESM-6,1,106,Linear,80/20,-3.817716870835799,3.693214269388449
Rg w/no norm,No regr out,All,ESM-6,1,106,Ridge,80/20,0.44770624151683747,1.2504574998829765
Rg w/no norm,No regr out,All,ESM-6,1,106,Lasso,80/20,0.4419807463594325,1.2569223826028162
Rg w/no norm,No regr out,All,ESM-6,1,106,Kernel Ridge,80/20,0.4261093836330144,1.274671952673029
Rg w/no norm,No regr out,All,ESM-6,1,106,GPR,80/20,-0.17614509992136784,1.8247959980233648
Rg w/no norm,No regr out,All,ESM-6,1,112,Linear,85/15,-3.0051717090395575,3.41855042129722
Rg w/no norm,No regr out,All,ESM-6,1,112,Ridge,85/15,0.46164448951601766,1.2533316337955522
Rg w/no norm,No regr out,All,ESM-6,1,112,Lasso,85/15,0.44447695435628254,1.2731584593615255
Rg w/no norm,No regr out,All,ESM-6,1,112,Kernel Ridge,85/15,0.4186724849578136,1.302392418778808
Rg w/no norm,No regr out,All,ESM-6,1,112,GPR,85/15,-0.1423011393144551,1.8256676700628425
Rg w/no norm,No regr out,All,ESM-6,1,120,Linear,90/10,-3.401953008496416,3.888282018781245
Rg w/no norm,No regr out,All,ESM-6,1,120,Ridge,90/10,0.4443679797017507,1.381429381399234
Rg w/no norm,No regr out,All,ESM-6,1,120,Lasso,90/10,0.4504904838509338,1.3737973198983249
Rg w/no norm,No regr out,All,ESM-6,1,120,Kernel Ridge,90/10,0.40829972624567956,1.4255614446000064
Rg w/no norm,No regr out,All,ESM-6,1,120,GPR,90/10,-0.19161813749670253,2.023035987275668
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,80/20,0.6237522371089996,0.715945132861218
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,80/20,0.7399320264588988,0.5952319226669396
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,80/20,0.6669690812000338,0.6735735976563626
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,80/20,0.7405220099547447,0.5945563754248075
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,80/20,0.4581950180182809,0.859140663542393
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,85/15,0.7182166273842314,0.661995636239499
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,85/15,0.7874919418965111,0.5748905192921062
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,85/15,0.7451320651572617,0.6295859754886198
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,85/15,0.7841441133804734,0.5794012044315415
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,85/15,0.6928946194340186,0.6911004217120583
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,90/10,0.5412240714124275,0.7549321643079652
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,90/10,0.6953630538296871,0.6151753205644176
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,90/10,0.6741189842384614,0.6362637024473613
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,90/10,0.720612879871853,0.5891295516921605
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,90/10,0.5263793000339329,0.7670487301902642
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Linear,80/20,0.7239313114259243,0.6132694825768487
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Ridge,80/20,0.7376018829237316,0.5978925403884163
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Lasso,80/20,0.6690453969606098,0.671470582481168
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Kernel Ridge,80/20,0.6952653892040797,0.644323051740457
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,GPR,80/20,0.22540593851399493,1.0272587740942944
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Linear,85/15,0.7518484986054765,0.6212349759607805
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Ridge,85/15,0.7707285921593311,0.5971348168676731
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Lasso,85/15,0.7371423579573735,0.6393780888127595
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Kernel Ridge,85/15,0.7134695355128293,0.6675485350166951
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,GPR,85/15,0.5313987020649762,0.8536880237804445
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Linear,90/10,0.7374759262565367,0.5710737332472744
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Ridge,90/10,0.7574088120764874,0.5489655965447567
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Lasso,90/10,0.7224219529165784,0.5872191034438415
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Kernel Ridge,90/10,0.6928647783030799,0.6176926438965455
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,GPR,90/10,0.44977635010023775,0.8267557886773449
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Linear,80/20,0.6611292334696162,0.679453641159962
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Ridge,80/20,0.6655223693828525,0.6750350398697594
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Lasso,80/20,0.6589466812958547,0.6816381950408955
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Kernel Ridge,80/20,0.697099452955424,0.6423811768103835
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,GPR,80/20,-0.7830045910719599,1.5585437882335313
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Linear,85/15,0.7206487182936134,0.6591325810060384
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Ridge,85/15,0.7202917052447129,0.6595536347311177
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Lasso,85/15,0.7128531854901901,0.668266124559987
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Kernel Ridge,85/15,0.7781453823533889,0.5873969423253473
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,GPR,85/15,-0.5928985193181366,1.57395205711289
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Linear,90/10,0.6521513474227231,0.6573592528832188
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Ridge,90/10,0.6674079973904254,0.6427817219354073
